Citance Number: 1 |  Reference Article:  J96-3004.xml  |  Citing Article:  A00-2032.xml  |  Citation Marker Offset:  ['142']  |  Citation Marker:  1996  |  Citation Offset:  ['141','142']  |  Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃ‚Â­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃ‚Â­ proach.</S>  | Reference Offset: ['347','231','437',] | Reference Text: <S sid ="347" ssid = "56">It may seem surprising to some readers that the interhuman agreement scores reported here are so low.</S><S sid ="231" ssid = "95">wo rd => na m e 2.</S><S sid ="437" ssid = "40">The segmenter will give both analyses :1 cai2 neng2 'just be able,' and ?]cai2neng2 'talent,' but the latter analysis is preferred since splitting these two morphemes is generally more costly than grouping them.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 26 |  Reference Article:  J96-3004.xml  |  Citing Article:  J97-4004.xml  |  Citation Marker Offset:  ['621']  |  Citation Marker:  1996  |  Citation Offset:  ['621']  |  Citation Text:  <S sid ="621" ssid = "63">While it may not be totally impossible to fully incorporate such knowledge and heuristics into the general framework of path evaluation and searching, they are apÃ‚Â­ parently employed neither in Sproat et al.</S><S sid ="622" ssid = "64">(1996) nor in Ma (1996).</S>  | Reference Offset: ['352','153','446',] | Reference Text: <S sid ="352" ssid = "61">For a given "word" in the automatic segmentation, if at least k of the huÂ­ man judges agree that this is a word, then that word is considered to be correct.</S><S sid ="153" ssid = "17">For example, it is well-known that one can build a finite-state bigram (word) model by simply assigning a state Si to each word Wi in the vocabulary, and having (word) arcs leaving that state weighted such that for each Wj and corresponding arc aj leaving Si, the cost on aj is the bigram cost of WiWj- (Costs for unseen bigrams in such a scheme would typically be modeled with a special backoff state.)</S><S sid ="446" ssid = "49">(a) ;IE shi4 'be' => ;IE;IE shi4bu2-shi4 (be-not-be) 'is it?'</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 27 |  Reference Article:  J96-3004.xml  |  Citing Article:  N10-1068.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['6']  |  Citation Text:  <S sid ="6" ssid = "6">Many natural language models can be captured by weighted finite-state transducers (Pereira et al., 1994; Sproat et al., 1996; Knight and AlOnaizan, 1998; Clark, 2002; Kolak et al., 2003; Mathias and Byrne, 2006), which offer several benefits:Ã¢â‚¬Â¢ WFSTs provide a uniform knowledge represen tation.</S>  | Reference Offset: ['366','172','217',] | Reference Text: <S sid ="366" ssid = "75">(1992).</S><S sid ="172" ssid = "36">Clearly this is not the only way to estimate word-frequencies, however, and one could consider applying other methods: in particÂ­ ular since the problem is similar to the problem of assigning part-of-speech tags to an untagged corpus given a lexicon and some initial estimate of the a priori probabilities for the tags, one might consider a more sophisticated approach such as that described in Kupiec (1992); one could also use methods that depend on a small hand-tagged seed corpus, as suggested by one reviewer.</S><S sid ="217" ssid = "81">This representation gives ir, an appropriate morphological decomposition, preÂ­ serving information that would be lost by simply listing ir, as an unanalyzed form.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 28 |  Reference Article:  J96-3004.xml  |  Citing Article:  P03-1035.xml  |  Citation Marker Offset:  ['41']  |  Citation Marker:  1996  |  Citation Offset:  ['41']  |  Citation Text:  <S sid ="41" ssid = "18">One example of such approaches is Sproat et al.</S><S sid ="42" ssid = "19">(1996), which is based on weighted finite-state transducers (FSTs).</S>  | Reference Offset: ['398','189','449',] | Reference Text: <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled efÂ­ fectively using weighted finite-state transducers.</S><S sid ="189" ssid = "53">(Other classes handled by the current system are discussed in Section 5.)</S><S sid ="449" ssid = "52">gaolbu4-gaolxing4 (hap-not-happy) 'happy?'</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 29 |  Reference Article:  J96-3004.xml  |  Citing Article:  P03-1035.xml  |  Citation Marker Offset:  ['122']  |  Citation Marker:  1996  |  Citation Offset:  ['122']  |  Citation Text:  <S sid ="122" ssid = "27">Because any character strings can be in principle named entities of one or more types, to limit the number of candidates for a more effective search, we generate named entity candidates, given an input string, in two steps: First, for each type, we use a set of constraints (which are compiled by 3 Sproat et al.</S>  | Reference Offset: ['302','3','392',] | Reference Text: <S sid ="302" ssid = "11">An examination of the subjects' bracketings confirmed that these instructions were satisfactory in yielding plausible word-sized units.</S><S sid ="3" ssid = "3">For a language like English, this problem is generally regarded as trivial since words are delimited in English text by whitespace or marks of punctuation.</S><S sid ="392" ssid = "101">In many cases these failures in recall would be fixed by having better estimates of the actual probÂ­ abilities of single-hanzi words, since our estimates are often inflated.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 30 |  Reference Article:  J96-3004.xml  |  Citing Article:  P03-1035.xml  |  Citation Marker Offset:  ['155']  |  Citation Marker:  1996  |  Citation Offset:  ['155']  |  Citation Text:  <S sid ="154" ssid = "59">5.2.4 Transliterations of foreign names As described in Sproat et al.</S><S sid ="155" ssid = "60">(1996): FNs are usually transliterated using Chinese character strings whose sequential pronunciation mimics the source language pronunciation of the name.</S>  | Reference Offset: ['418','198','249',] | Reference Text: <S sid ="418" ssid = "21">This implies, therefore, that a major factor in the performance of a Chinese segmenter is the quality of the base dictionary, and this is probably a more important factor-from the point of view of performance alone-than the particular computational methods used.</S><S sid ="198" ssid = "62">A non-optimal analysis is shown with dotted lines in the bottom frame.</S><S sid ="249" ssid = "113">The second weakness is purely conceptual, and probably does not affect the perÂ­ formance of the model.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 31 |  Reference Article:  J96-3004.xml  |  Citing Article:  P06-1010.xml  |  Citation Marker Offset:  ['43']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['42','43']  |  Citation Text:  <S sid ="42" ssid = "10">Candidate Chinese transliterations are generated by consulting a list of characters that are frequently used for transliterating foreign names.</S><S sid ="43" ssid = "11">As discussed elsewhere (Sproat et al., 1996), a subset of a few hundred characters (out of several thousand) tends to be used overwhelmingly for transliterating foreign names into Chinese.</S>  | Reference Offset: ['415','192','362',] | Reference Text: <S sid ="415" ssid = "18">The major problem for our segÂ­ menter, as for all segmenters, remains the problem of unknown words (see Fung and Wu [1994]).</S><S sid ="192" ssid = "56">Â£ : _ADV: 5.88 If:!</S><S sid ="362" ssid = "71">However, they list two sets, one consisting of 28 fragments and the other of 22 fragments, in which they had 0% recall and precision.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 32 |  Reference Article:  J96-3004.xml  |  Citing Article:  P06-1126.xml  |  Citation Marker Offset:  ['7']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['7']  |  Citation Text:  <S sid ="7" ssid = "7">Chinese word segmentation is the initial stage of many Chinese language processing tasks, and has received a lot of attention in the literature (Sproat et al., 1996; Sun and Tsou, 2001; Zhang et al., 2003; Peng et al., 2004).</S>  | Reference Offset: ['349','2','79',] | Reference Text: <S sid ="349" ssid = "58">Wu and Fung introduce an evaluation method they call nk-blind.</S><S sid ="2" ssid = "2">An initial step of any textÂ­ analysis task is the tokenization of the input into words.</S><S sid ="79" ssid = "17">A morpheme, on the other hand, usually corresponds to a unique hanzi, though there are a few cases where variant forms are found.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 33 |  Reference Article:  J96-3004.xml  |  Citing Article:  P07-1015.xml  |  Citation Marker Offset:  ['113']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['113']  |  Citation Text:  <S sid ="113" ssid = "21">Using the 495 characters that are frequently used for transliterating foreign names (Sproat et al., 1996), a sequence of three of more characters from the list was taken as a possible candidate for Chinese.</S>  | Reference Offset: ['452','190','378',] | Reference Text: <S sid ="452" ssid = "55">gaolgaolxing4xing4 'happily' In the particular form of A-not-A reduplication illustrated in (3a), the first syllable of the verb is copied, and the negative markerbu4 'not' is inserted between the copy and the full verb.</S><S sid ="190" ssid = "54">The morphological analÂ­ysis itself can be handled using well-known techniques from finite-state morphol 9 The initial estimates are derived from the frequencies in the corpus of the strings of hanzi making up.</S><S sid ="378" ssid = "87">18 We are grateful to ChaoHuang Chang for providing us with this set.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 34 |  Reference Article:  J96-3004.xml  |  Citing Article:  P07-1016.xml  |  Citation Marker Offset:  ['70']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['70']  |  Citation Text:  <S sid ="70" ssid = "42">As discussed elsewhere (Sproat et al., 1996), out of several thousand common Chinese characters, a subset of a few hundred characters tends to be used overwhelmingly for transliterating English names to Chinese, e.g. only 731 Chinese characters are adopted in the E-C corpus.</S>  | Reference Offset: ['381','208','248',] | Reference Text: <S sid ="381" ssid = "90">paper, and is missing 6 examples from the A set.</S><S sid ="208" ssid = "72">Finally, asÂ­ suming a simple bigram backoff model, we can derive the probability estimate for the particular unseen word iÂ¥1J1l.</S><S sid ="248" ssid = "112">As a partial solution, for pairs of hanzi that co-occur sufficiently often in our namelists, we use the estimated bigram cost, rather than the independence-based cost.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 35 |  Reference Article:  J96-3004.xml  |  Citing Article:  P12-1110.xml  |  Citation Marker Offset:  ['105']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['105']  |  Citation Text:  <S sid ="105" ssid = "53">3.3.1 Dictionary features Because segmentation using a dictionary alone can serve as a strong baseline in Chinese word segmentation (Sproat et al., 1996), the use of dictionaries is expected to make our joint model more robust and enables us to investigate the contribution of the syntactic dependency in a more realistic setting.</S>  | Reference Offset: ['398','89','332',] | Reference Text: <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled efÂ­ fectively using weighted finite-state transducers.</S><S sid ="89" ssid = "27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÂ­ cal rule-based approaches, and approaches that combine lexical information with staÂ­ tistical information.</S><S sid ="332" ssid = "41">Two of the Mainlanders also cluster close together but, interestingly, not particularly close to the Taiwan speakers; the third Mainlander is much more similar to the Taiwan speakers.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 36 |  Reference Article:  J96-3004.xml  |  Citing Article:  P12-1111.xml  |  Citation Marker Offset:  ['91']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['91']  |  Citation Text:  <S sid ="91" ssid = "31">In early work, rule-based models find words one by one based on heuristics such as forward maximum match (Sproat et al., 1996).</S>  | Reference Offset: ['433','35','283',] | Reference Text: <S sid ="433" ssid = "36">While Gan's system incorporates fairly sophisticated models of various linguistic information, it has the drawback that it has only been tested with a very small lexicon (a few hundred words) and on a very small test set (thirty sentences); there is therefore serious concern as to whether the methods that he discusses are scalable.</S><S sid ="35" ssid = "35">For that application, at a minimum, one would want to know the phonological word boundaries.</S><S sid ="283" ssid = "147">Fortunately, there are only a few hundred hanzi that are particularly common in transliterations; indeed, the commonest ones, such as E. bal, m er3, and iij al are often clear indicators that a sequence of hanzi containing them is foreign: even a name like !:i*m xia4mi3-er3 'Shamir,' which is a legal ChiÂ­ nese personal name, retains a foreign flavor because of liM.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 37 |  Reference Article:  J96-3004.xml  |  Citing Article:  P97-1041.xml  |  Citation Marker Offset:  ['12']  |  Citation Marker:  1996  |  Citation Offset:  ['12']  |  Citation Text:  <S sid ="12" ssid = "12">For a discussion of recent Chinese segmentation work, see Sproat et al. {1996).</S>  | Reference Offset: ['435','192','460',] | Reference Text: <S sid ="435" ssid = "38">For the examples given in (1) and (2) this certainly seems possible.</S><S sid ="192" ssid = "56">Â£ : _ADV: 5.88 If:!</S><S sid ="460" ssid = "6">Since the transducers are built from human-readable descriptions using a lexical toolkit (Sproat 1995), the system is easily maintained and extended.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 38 |  Reference Article:  J96-3004.xml  |  Citing Article:  P97-1041.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  1996  |  Citation Offset:  ['39']  |  Citation Text:  <S sid ="39" ssid = "5">It is rule-based, but relies on 2 See, for example, Sproat et al.</S><S sid ="40" ssid = "6">(1996)</S>  | Reference Offset: ['435','170','369',] | Reference Text: <S sid ="435" ssid = "38">For the examples given in (1) and (2) this certainly seems possible.</S><S sid ="170" ssid = "34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S><S sid ="369" ssid = "78">Examples are given in Table 4.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 39 |  Reference Article:  J96-3004.xml  |  Citing Article:  P98-1076.xml  |  Citation Marker Offset:  ['145']  |  Citation Marker:  1996  |  Citation Offset:  ['144','145']  |  Citation Text:  <S sid ="144" ssid = "11">The actual implementation of the weighted finiteÃ‚Â­ state transducer by Sproat et al.</S><S sid ="145" ssid = "12">(1996) can be taken as an evidence that the hypothesis of one tokenization per source has already in practical use.</S>  | Reference Offset: ['398','9','461',] | Reference Text: <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled efÂ­ fectively using weighted finite-state transducers.</S><S sid ="9" ssid = "9">Space- or punctuation-delimited * 700 Mountain Avenue, 2d451, Murray Hill, NJ 07974, USA.</S><S sid ="461" ssid = "7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 40 |  Reference Article:  J96-3004.xml  |  Citing Article:  P98-1076.xml  |  Citation Marker Offset:  ['150']  |  Citation Marker:  1996  |  Citation Offset:  ['149','150']  |  Citation Text:  <S sid ="149" ssid = "2">utilizing local and sentential constraints, what Sproat et al.</S><S sid ="150" ssid = "3">( 1996) implemented was simply a token unigram scoring function.</S>  | Reference Offset: ['300','6','361',] | Reference Text: <S sid ="300" ssid = "9">We asked six native speakers-three from Taiwan (TlT3), and three from the Mainland (M1M3)-to segment the corpus.</S><S sid ="6" ssid = "6">There are clearly eight orthographic words in the example given, but if one were doing syntactic analysis one would probably want to consider I'm to consist of two syntactic words, namely I and am.</S><S sid ="361" ssid = "70">On a set of 11 sentence fragments-the A set-where they reported 100% recall and precision for name identification, we had 73% recall and 80% precision.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 41 |  Reference Article:  J96-3004.xml  |  Citing Article:  P99-1036.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['5','6']  |  Citation Text:  <S sid ="5" ssid = "5">In Japanese, around 95% word segmentation acÃ‚Â­ curacy is reported by using a word-based lanÃ‚Â­ guage model and the Viterbi-like dynamic programÃ‚Â­ ming procedures (Nagata, 1994; Yamamoto, 1996; Takeuchi and Matsumoto, 1997; Haruno and MatÃ‚Â­ sumoto, 1997).</S><S sid ="6" ssid = "6">About the same accuracy is reported in Chinese by statistical methods (Sproat et al., 1996).</S>  | Reference Offset: ['398','92','329',] | Reference Text: <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled efÂ­ fectively using weighted finite-state transducers.</S><S sid ="92" ssid = "30">In that work, mutual information was used to decide whether to group adjacent hanzi into two-hanzi words.</S><S sid ="329" ssid = "38">This is to allow for fair comparison between the statistical method and GR, which is also purely dictionary-based.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 42 |  Reference Article:  J96-3004.xml  |  Citing Article:  P99-1036.xml  |  Citation Marker Offset:  ['8']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['8']  |  Citation Text:  <S sid ="8" ssid = "8">There are two approaches to solve this problem: to increase the coverage of the dictionary (Fung and Wu, 1994; Chang et al., 1995; Mori and Nagao, 1996) and to design a better model for unknown words (Nagata, 1996; Sproat et al., 1996).</S>  | Reference Offset: ['353','66','90',] | Reference Text: <S sid ="353" ssid = "62">For eight judges, ranging k between 1 and 8 corresponded to a precision score range of 90% to 30%, meaning that there were relatively few words (30% of those found by the automatic segmenter) on which all judges agreed, whereas most of the words found by the segmenter were such that one human judge agreed.</S><S sid ="66" ssid = "4">The segmenter handles the grouping of hanzi into words and outputs word pronunciations, with default pronunciations for hanzi it cannot group; we focus here primarily on the system's ability to segment text appropriately (rather than on its pronunciation abilities).</S><S sid ="90" ssid = "28">The present proposal falls into the last group.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 43 |  Reference Article:  J96-3004.xml  |  Citing Article:  P99-1036.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">To improve word segmentaÃ‚Â­ tion accuracy, (Nagata, 1996) used a single general purpose unknown word model, while (Sproat et al., 1996) used a set of specific word models such as for plurals, personal names, and transliterated foreign words.</S>  | Reference Offset: ['397','71','303',] | Reference Text: <S sid ="397" ssid = "106">The last affix in the list is the nominal plural f, men0.20 In the table are the (typical) classes of words to which the affix attaches, the number found in the test corpus by the method, the number correct (with a precision measure), and the number missed (with a recall measure).</S><S sid ="71" ssid = "9">Finally, this effort is part of a much larger program that we are undertaking to develop stochastic finite-state methods for text analysis with applications to TIS and other areas; in the final section of this paper we will briefly discuss this larger program so as to situate the work discussed here in a broader context.</S><S sid ="303" ssid = "12">(See also Wu and Fung [1994].)</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 44 |  Reference Article:  J96-3004.xml  |  Citing Article:  P99-1036.xml  |  Citation Marker Offset:  ['178']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['178']  |  Citation Text:  <S sid ="178" ssid = "108">Word segmentation accuracy is expressed in terms of recall and precision as is done in the previous research (Sproat et al., 1996).</S>  | Reference Offset: ['405','48','284',] | Reference Text: <S sid ="405" ssid = "8">First of all, most previous articles report perforÂ­ mance in terms of a single percent-correct score, or else in terms of the paired measures of precision and recall.</S><S sid ="48" ssid = "9">pronunciations of individual words; they also need to compute intonational phrase boundaries in long utterances and assign relative prominence to words in those utterances.</S><S sid ="284" ssid = "148">As a first step towards modeling transliterated names, we have collected all hanzi occurring more than once in the roughly 750 foreign names in our dictionary, and we estimate the probabilÂ­ ity of occurrence of each hanzi in a transliteration (pTN(hanzi;)) using the maximum likelihood estimate.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 45 |  Reference Article:  J96-3004.xml  |  Citing Article:  W00-0803.xml  |  Citation Marker Offset:  ['29']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['29']  |  Citation Text:  <S sid ="29" ssid = "29">Segmentation rutd morphological analysis related issues of both Chinese and Japanese are intensively addressed elsewhere (Sproat et al., 1996; MatsUIIt(ltO et al., 1997 and many others).</S>  | Reference Offset: ['322','36','461',] | Reference Text: <S sid ="322" ssid = "31">Jud ges A G G R ST M 1 M 2 M 3 T1 T2 T3 AG 0.7 0 0.7 0 0 . 4 3 0.4 2 0.6 0 0.6 0 0.6 2 0.5 9 GR 0.9 9 0 . 6 2 0.6 4 0.7 9 0.8 2 0.8 1 0.7 2 ST 0 . 6 4 0.6 7 0.8 0 0.8 4 0.8 2 0.7 4 M1 0.7 7 0.6 9 0.7 1 0.6 9 0.7 0 M2 0.7 2 0.7 3 0.7 1 0.7 0 M3 0.8 9 0.8 7 0.8 0 T1 0.8 8 0.8 2 T2 0.7 8 respectively, the recall and precision.</S><S sid ="36" ssid = "36">Now, for this application one might be tempted to simply bypass the segmentation problem and pronounce the text character-by-character.</S><S sid ="461" ssid = "7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 46 |  Reference Article:  J96-3004.xml  |  Citing Article:  W00-1207.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Sproat et al 1996  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">Purely statistical methods of word segmentation (e.g. de Marcken 1996, Sproat et al 1996, Tung and Lee 1994, Lin et al (1993), Chiang et al (1992), Lua, Huang et al, etc.) often fail to identify those words because of the sparse data problem, as the likelihood for those words to appear in the training texts is extremely low.</S>  | Reference Offset: ['144','77','24',] | Reference Text: <S sid ="144" ssid = "8">then define the best segmentation to be the cheapest or best path in Id(I) o D* (i.e., Id(I) composed with the transitive closure of 0).6 Consider the abstract example illustrated in Figure 2.</S><S sid ="77" ssid = "15">Thus in a two-hanzi word like lflli?J zhong1guo2 (middle country) 'China' there are two syllables, and at the same time two morphemes.</S><S sid ="24" ssid = "24">2 Chinese ?l* han4zi4 'Chinese character'; this is the same word as Japanese kanji..</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 47 |  Reference Article:  J96-3004.xml  |  Citing Article:  W01-0513.xml  |  Citation Marker Offset:  ['41']  |  Citation Marker:  Sproat, et al, 1996  |  Citation Offset:  ['40','41']  |  Citation Text:  <S sid ="40" ssid = "11">The principal work on segmentation has focused either on identifying words in phonetic streams (Saffran, et.</S><S sid ="41" ssid = "12">al, 1996; Brent, 1996; de Marcken, 1996) or on tokenizing Asian and Indian languages that do not normally include word delimiters in their orthography (Sproat, et al, 1996; Ponte and Croft 1996; Shimohata, 1997; Teahan, et al., 2000; and many others).</S>  | Reference Offset: ['459','4','8',] | Reference Text: <S sid ="459" ssid = "5">Furthermore, by inverting the transducer so that it maps from phonemic transcriptions to hanzi sequences, one can apply the segmenter to other problems, such as speech recognition (Pereira, Riley, and Sproat 1994).</S><S sid ="4" ssid = "4">Thus in an English sentence such as I'm going to show up at the ACL one would reasonably conjecture that there are eight words separated by seven spaces.</S><S sid ="8" ssid = "8">And if one is interested in TIS, one would probably consider the single orthographic word ACL to consist of three phonological words-lei s'i d/-corresponding to the pronunciation of each of the letters in the acronym.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 48 |  Reference Article:  J96-3004.xml  |  Citing Article:  W02-1117.xml  |  Citation Marker Offset:  ['13']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['13']  |  Citation Text:  <S sid ="13" ssid = "13">For examples: these words should be obtained: The ambiguous string is .There are some methods to resolve this problem: the one is the method forward maximum matching, backward maximum matching and minimum matching are used to find out the possible word strings from the character string [Guo 1997; Sproat et al. 1996; Gu and Mao 1994; Li et al. 1991; Wang et al. 1991b; Wang et al. 1990].</S>  | Reference Offset: ['338','56','80',] | Reference Text: <S sid ="338" ssid = "47">As the reviewer also points out, this is a problem that is shared by, e.g., probabilistic context-free parsers, which tend to pick trees with fewer nodes.</S><S sid ="56" ssid = "17">Among these are words derived by various productive processes, including: 1.</S><S sid ="80" ssid = "18">Finally, quite a few hanzi are homographs, meaning that they may be pronounced in several different ways, and in extreme cases apparently represent different morphemes: The prenominal modifiÂ­ cation marker eg deO is presumably a different morpheme from the second morpheme of Â§eg mu4di4, even though they are written the same way.4 The second point, which will be relevant in the discussion of personal names in Section 4.4, relates to the internal structure of hanzi.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 49 |  Reference Article:  J96-3004.xml  |  Citing Article:  W02-1808.xml  |  Citation Marker Offset:  ['5']  |  Citation Marker:  1996  |  Citation Offset:  ['5']  |  Citation Text:  <S sid ="5" ssid = "5">Statistical approaches involve language mod els mostly finite-state ones trained on some large-scale corpora as showed in Fan and Tsai (1988) Chang et al (1991) Chiang et al (1992) Sproat et al (1996)</S>  | Reference Offset: ['301','179','232',] | Reference Text: <S sid ="301" ssid = "10">Since we could not bias the subjects towards a particular segmentation and did not presume linguistic sophistication on their part, the instructions were simple: subjects were to mark all places they might plausibly pause if they were reading the text aloud.</S><S sid ="179" ssid = "43">Figure 3 shows a small fragment of the WFST encoding the dictionary, containing both entries forjust discussed, g:tÂ¥ zhonglhua2 min2guo2 (China Republic) 'Republic of China,' and iÂ¥inl.</S><S sid ="232" ssid = "96">na me =>1 ha nzi fa mi ly 2 ha nzi gi ve n 3.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 50 |  Reference Article:  J96-3004.xml  |  Citing Article:  W03-1025.xml  |  Citation Marker Offset:  ['17']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['17']  |  Citation Text:  <S sid ="17" ssid = "17">There are multiple studies (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) showing that the agreement between two (untrained) native speakers is about upper to lower</S>  | Reference Offset: ['303','134','300',] | Reference Text: <S sid ="303" ssid = "12">(See also Wu and Fung [1994].)</S><S sid ="134" ssid = "72">The major problem for all segmentation systems remains the coverage afforded by the dictionary and the lexical rules used to augment the dictionary to deal with unseen words.</S><S sid ="300" ssid = "9">We asked six native speakers-three from Taiwan (TlT3), and three from the Mainland (M1M3)-to segment the corpus.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 51 |  Reference Article:  J96-3004.xml  |  Citing Article:  W03-1025.xml  |  Citation Marker Offset:  ['180']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['180']  |  Citation Text:  <S sid ="180" ssid = "4">Chinese word segmentation is a well-known problem that has been studied extensively (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) and it is known that human agreement is relatively low.</S>  | Reference Offset: ['350','53','75',] | Reference Text: <S sid ="350" ssid = "59">Under this scheme, n human judges are asked independently to segment a text.</S><S sid ="53" ssid = "14">There are thus some very good reasons why segmentation into words is an important task.</S><S sid ="75" ssid = "13">Much confusion has been sown about Chinese writing by the use of the term ideograph, suggesting that hanzi somehow directly represent ideas.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 52 |  Reference Article:  J96-3004.xml  |  Citing Article:  W03-1025.xml  |  Citation Marker Offset:  ['187']  |  Citation Marker:  1996  |  Citation Offset:  ['186','187']  |  Citation Text:  <S sid ="186" ssid = "10">Sproat et al.</S><S sid ="187" ssid = "11">(1996) employs stochastic finite state machines to find word boundaries.</S>  | Reference Offset: ['318','20','251',] | Reference Text: <S sid ="318" ssid = "27">computing the recall of the other's judgments relative to this standard.</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writÂ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="251" ssid = "115">As we have noted in Section 2, the general semantic class to which a hanzi belongs is often predictable from its semantic radical.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
