Citance Number: 1 |  Reference Article:  P05-1053.xml  |  Citing Article:  C08-1088.xml  |  Citation Marker Offset:  ['37']  |  Citation Marker: 2005  |  Citation Offset:  ['36','37']  |  Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S>  | Reference Offset: ['178','206','187',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 32 |  Reference Article:  P05-1053.xml  |  Citing Article:  N07-1015.xml  |  Citation Marker Offset:  ['124']  |  Citation Marker:  2005  |  Citation Offset:  ['122','123','124']  |  Citation Text:  <S sid ="122" ssid = "69">Bag-of-Words: These features have also been explore by Zhao and Grishman (2005) and Zhou et.</S><S sid ="123" ssid = "70">al.</S><S sid ="124" ssid = "71">(2005).</S>  | Reference Offset: ['190','209','174',] | Reference Text: <S sid ="190" ssid = "72">2 51 .8 63 .2 67 .1 35 .0 45 .8 Table 5: Comparison of our system with other best-reported systems on the ACE corpus Error Type #Errors first.</S><S sid ="209" ssid = "91">(2004).</S><S sid ="174" ssid = "56">9 2 2 . 9 3 6 . 4 P A R T 1 6 4 1 0 6 3 9 73.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 33 |  Reference Article:  P05-1053.xml  |  Citing Article:  N07-1015.xml  |  Citation Marker Offset:  ['132']  |  Citation Marker:  2005  |  Citation Offset:  ['130','131','132']  |  Citation Text:  <S sid ="130" ssid = "77">Dependency Relations and Dependency Paths: These features have been explored by Bunescu and Mooney (2005a), Zhao and Grishman (2005), and Zhou et.</S><S sid ="131" ssid = "78">al.</S><S sid ="132" ssid = "79">(2005).</S>  | Reference Offset: ['195','188','177',] | Reference Text: <S sid ="195" ssid = "77">While short-distance relations dominate and can be resolved by simple features such as word and chunking features, the further dependency tree and parse tree features can only take effect in the remaining much less and more difficult long-distance relations.</S><S sid ="188" ssid = "70">5 4 5.</S><S sid ="177" ssid = "59">8 5 1 . 9 4 3 . 8 R O LE 6 9 9 4 4 3 8 2 84.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 34 |  Reference Article:  P05-1053.xml  |  Citing Article:  N09-3012.xml  |  Citation Marker Offset:  ['7']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['7']  |  Citation Text:  <S sid ="7" ssid = "7">Although in order to achieve the best performance, it is necessary to use a proper combination of these features (Zhou et al., 2005), in this paper, we will concentrate on how to better capture the syntactic features for relation extraction.</S>  | Reference Offset: ['173','174','112',] | Reference Text: <S sid ="173" ssid = "55">9 2 2 . 9 3 6 . 4 Relative Locati on 3 5 8 1 88.</S><S sid ="174" ssid = "56">9 2 2 . 9 3 6 . 4 P A R T 1 6 4 1 0 6 3 9 73.</S><S sid ="112" ssid = "5">We use the official ACE corpus from LDC.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 37 |  Reference Article:  P05-1053.xml  |  Citing Article:  N13-1093.xml  |  Citation Marker Offset:  ['73']  |  Citation Marker:    |  Citation Offset:  ['72','73']  |  Citation Text:  <S sid ="72" ssid = "61">The former is Zhou et al.</S><S sid ="73" ssid = "62">(2005), which uses 51 different features.</S>  | Reference Offset: ['195','166','206',] | Reference Text: <S sid ="195" ssid = "77">While short-distance relations dominate and can be resolved by simple features such as word and chunking features, the further dependency tree and parse tree features can only take effect in the remaining much less and more difficult long-distance relations.</S><S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 36 |  Reference Article:  P05-1053.xml  |  Citing Article:  N13-1093.xml  |  Citation Marker Offset:  ['108']  |  Citation Marker:  2005  |  Citation Offset:  ['107','108']  |  Citation Text:  <S sid ="107" ssid = "11">These experiments are done using Zhou et al.</S><S sid ="108" ssid = "12">(2005), TPWF kernel, SL kernel, different versions of proposed KH F kernel and KH ybrid kernel.</S>  | Reference Offset: ['176','181','172',] | Reference Text: <S sid ="176" ssid = "58">4 5 5 . 9 6 2 . 3 Subsid iary 2 7 1 4 2 3 37.</S><S sid ="181" ssid = "63">6 6 4 . 2 6 1 . 8 Memb er 2 2 4 1 0 4 3 6 74.</S><S sid ="172" ssid = "54">9 2 8 . 8 4 0 . 4 N EA R 3 5 8 1 88.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 37 |  Reference Article:  P05-1053.xml  |  Citing Article:  N13-1093.xml  |  Citation Marker Offset:  ['73']  |  Citation Marker:    |  Citation Offset:  ['72','73']  |  Citation Text:  <S sid ="72" ssid = "61">The former is Zhou et al.</S><S sid ="73" ssid = "62">(2005), which uses 51 different features.</S>  | Reference Offset: ['195','166','206',] | Reference Text: <S sid ="195" ssid = "77">While short-distance relations dominate and can be resolved by simple features such as word and chunking features, the further dependency tree and parse tree features can only take effect in the remaining much less and more difficult long-distance relations.</S><S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 38 |  Reference Article:  P05-1053.xml  |  Citing Article:  N13-1093.xml  |  Citation Marker Offset:  ['113']  |  Citation Marker:  2005  |  Citation Offset:  ['112','113']  |  Citation Text:  <S sid ="112" ssid = "16">We also performed (5-fold cross validation) experiments by combining the Stage 1 classifier with each of the Zhou et al.</S><S sid ="113" ssid = "17">(2005), TPWF kernel, SL kernel, PET kernel, KH F kernel and KH ybrid kernel separately (only the results of KH ybrid are reported in Table 1 due to space limitation).</S>  | Reference Offset: ['193','218','215',] | Reference Text: <S sid ="193" ssid = "75">Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.</S><S sid ="218" ssid = "100">Therefore, it would be interesting to see how imperfect EDT affects the performance in relation extraction.</S><S sid ="215" ssid = "97">The experiment result also shows that our feature-based approach outperforms the tree kernel-based approaches by more than 20 F-measure on the extraction of 5 ACE relation types.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 39 |  Reference Article:  P05-1053.xml  |  Citing Article:  N13-1095.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['6']  |  Citation Text:  <S sid ="6" ssid = "6">Relation Extraction is a well-studied problem (Miller et al., 2000; Zhou et al., 2005; Kambhatla, 2004; Min et al., 2012a).</S>  | Reference Offset: ['158','155','107',] | Reference Text: <S sid ="158" ssid = "40">Table 5 separates the performance of relation detection from overall performance on the testing set.</S><S sid ="155" ssid = "37">This is largely due to incorporation of two semantic resources, i.e. the country name list and the personal relative trigger word list.</S><S sid ="107" ssid = "50">â€¢ SC1ET2: combination of the entity type of M2 and the semantic class of M1 when the first mention triggers a personal social subtype.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 40 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1016.xml  |  Citation Marker Offset:  ['13']  |  Citation Marker:  Zhou et al 2005  |  Citation Offset:  ['13']  |  Citation Text:  <S sid ="13" ssid = "13">One major challenge in relation extraction is due to the data sparseness problem (Zhou et al 2005).</S>  | Reference Offset: ['153','157','107',] | Reference Text: <S sid ="153" ssid = "35">It also shows that our system performs best on the subtype â€œSOCIAL.Parentâ€? and â€œROLE.</S><S sid ="157" ssid = "39">This suggests the difficulty of detecting and classifying the relation type â€œATâ€? and its subtypes.</S><S sid ="107" ssid = "50">â€¢ SC1ET2: combination of the entity type of M2 and the semantic class of M1 when the first mention triggers a personal social subtype.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 41 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1016.xml  |  Citation Marker Offset:  ['18']  |  Citation Marker:    |  Citation Offset:  ['18']  |  Citation Text:  <S sid ="18" ssid = "18">While various machine learning approaches, such as generative modeling (Miller et al 2000), maximum entropy (Kambhatla 2004) and support vector machines (Zhao and Grisman 2005; Zhou et al 2005), have been applied in the relation extraction task, no explicit learning strategy is proposed to deal with the inherent data sparseness problem caused by the much uneven distribution among different relations.</S>  | Reference Offset: ['167','165','75',] | Reference Text: <S sid ="167" ssid = "49">This suggests that relation detection is critical for relation extraction.</S><S sid ="165" ssid = "47">Finally, Table 6 shows the distributions of errors.</S><S sid ="75" ssid = "18">However, when a preposition exists in the mention, its head word is set as the last word before the preposition.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 42 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1016.xml  |  Citation Marker Offset:  ['30']  |  Citation Marker:  2005  |  Citation Offset:  ['29','30']  |  Citation Text:  <S sid ="29" ssid = "2">With the increasing popularity of ACE, this task is starting to attract more and more researchers within the natural language processing and machine learning communities.</S><S sid ="30" ssid = "3">Typical works include Miller et al (2000), Zelenko et al (2003), Culotta and Sorensen (2004), Bunescu and Mooney (2005a), Bunescu and Mooney (2005b), Zhang et al (2005), Roth and Yih (2002), Kambhatla (2004), Zhao and Grisman (2005) and Zhou et al (2005).</S>  | Reference Offset: ['152','169','55',] | Reference Text: <S sid ="152" ssid = "34">Other-Professionalâ€? also suffer from their low occurrences.</S><S sid ="169" ssid = "51">1 5 7 . 1 6 2 . 1Based In 8 5 3 9 1 0 79.</S><S sid ="55" ssid = "11">for multi-class classification.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 43 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1016.xml  |  Citation Marker Offset:  ['45']  |  Citation Marker:   |  Citation Offset:  ['45']  |  Citation Text:   <S sid ="45" ssid = "18">Zhou et al (2005) further systematically explored diverse lexical, syntactic and semantic features through support vector machines and achieved F- measure of 68.1 and 55.5 on the 5 relation types and the 24 relation subtypes in the ACE RDC 2003 corpus respectively.</S>  | Reference Offset: ['209','181','84',] | Reference Text: <S sid ="209" ssid = "91">(2004).</S><S sid ="181" ssid = "63">6 6 4 . 2 6 1 . 8 Memb er 2 2 4 1 0 4 3 6 74.</S><S sid ="84" ssid = "27">It is well known that chunking plays a critical role in the Template Relation task of the 7th Message Understanding Conference (MUC7 1998).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 44 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1016.xml  |  Citation Marker Offset:  ['128']  |  Citation Marker:  2005  |  Citation Offset:  ['128']  |  Citation Text:  <S sid ="128" ssid = "60">Same as Zhou et al (2005), we only model explicit relations and explicitly model the argument order of the two mentions involved.</S>  | Reference Offset: ['185','176','175',] | Reference Text: <S sid ="185" ssid = "67">8 66 .7 74 .7 77 .2 60 .7 68 .0 6 3.</S><S sid ="176" ssid = "58">4 5 5 . 9 6 2 . 3 Subsid iary 2 7 1 4 2 3 37.</S><S sid ="175" ssid = "57">1 6 4 . 6 6 8 . 6Part Of 1 3 6 7 6 3 2 70.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 45 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1017.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['6']  |  Citation Text:  <S sid ="6" ssid = "6">Many machine learning methods have been proposed to address this problem, e.g., supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithms (Hasegawa et al., 2004).</S>  | Reference Offset: ['152','177','182',] | Reference Text: <S sid ="152" ssid = "34">Other-Professionalâ€? also suffer from their low occurrences.</S><S sid ="177" ssid = "59">8 5 1 . 9 4 3 . 8 R O LE 6 9 9 4 4 3 8 2 84.</S><S sid ="182" ssid = "64">3 4 6 . 4 5 7 . 1 S O CI A L 9 5 6 0 2 1 74.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 47 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1017.xml  |  Citation Marker Offset:  ['199']  |  Citation Marker:  2005  |  Citation Offset:  ['198','199']  |  Citation Text:  <S sid ="198" ssid = "9">Bootstrapping Currently most of works on the RDC task of ACE focused on supervised learning methods Culotta and Soresen (2004; Kambhatla (2004; Zhou et al.</S><S sid ="199" ssid = "10">(2005).</S>  | Reference Offset: ['164','209','26',] | Reference Text: <S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="209" ssid = "91">(2004).</S><S sid ="26" ssid = "26">The rest of this paper is organized as follows.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 47 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1017.xml  |  Citation Marker Offset:  ['199']  |  Citation Marker:  2005  |  Citation Offset:  ['198','199']  |  Citation Text:  <S sid ="198" ssid = "9">Bootstrapping Currently most of works on the RDC task of ACE focused on supervised learning methods Culotta and Soresen (2004; Kambhatla (2004; Zhou et al.</S><S sid ="199" ssid = "10">(2005).</S>  | Reference Offset: ['164','209','26',] | Reference Text: <S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="209" ssid = "91">(2004).</S><S sid ="26" ssid = "26">The rest of this paper is organized as follows.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 48 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1017.xml  |  Citation Marker Offset:  ['207']  |  Citation Marker:  2005  |  Citation Offset:  ['206','207']  |  Citation Text:  <S sid ="206" ssid = "17">In the future, we would like to use more effective feature sets Zhou et al.</S><S sid ="207" ssid = "18">(2005) or kernel based similarity measure with LP for relation extraction.</S>  | Reference Offset: ['181','180','123',] | Reference Text: <S sid ="181" ssid = "63">6 6 4 . 2 6 1 . 8 Memb er 2 2 4 1 0 4 3 6 74.</S><S sid ="180" ssid = "62">1 5 3 . 7 6 2 . 3 Manag ement 1 6 5 1 0 6 7 2 59.</S><S sid ="123" ssid = "5">Type Subtype Freq Residence 308 Other 6 ROLE(4756) General-Staff 1331 Management 1242 Member 1091 Owner 232 Other 158 SOCIAL(827) Associate 91 Grandparent 12 Other-Personal 85 Spouse 77 Table 1: Relation types and subtypes in the ACE training data In this paper, we explicitly model the argument order of the two mentions involved.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 49 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1104.xml  |  Citation Marker Offset:  ['35']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['35']  |  Citation Text:  <S sid ="35" ssid = "1">Many techniques on relation extraction, such as rule-based (MUC, 19871998; Miller et al., 2000), feature-based (Kambhatla 2004; Zhou et al., 2005) and kernel-based (Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005), have been proposed in the literature.</S>  | Reference Offset: ['76','176','88',] | Reference Text: <S sid ="76" ssid = "19">For example, the head word of the name mention â€œUniversity of Michiganâ€? is â€œUniversityâ€?.</S><S sid ="176" ssid = "58">4 5 5 . 9 6 2 . 3 Subsid iary 2 7 1 4 2 3 37.</S><S sid ="88" ssid = "31">Here, the base phrase chunks are derived from full parse trees using the Perl script5 written by Sabine Buchholz from Tilburg University and the Collinsâ€™ parser (Collins 1999) is employed for full parsing.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 50 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-1104.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['39']  |  Citation Text:  <S sid ="39" ssid = "5">Feature-based methods (Kambhatla, 2004; Zhou et al., 2005; Zhao and Grishman, 20052 ) for this task employ a large amount of diverse linguistic features, such as lexical, syntactic and semantic features.</S>  | Reference Offset: ['192','213','178',] | Reference Text: <S sid ="192" ssid = "74">In this paper, we have presented a feature-based approach for relation extraction where diverse lexical, syntactic and semantic knowledge are employed.</S><S sid ="213" ssid = "95">Although tree kernel-based approaches facilitate the exploration of the implicit feature space with the parse tree structure, yet the current technologies are expected to be further advanced to be effective for relatively complicated relation extraction tasks such as the one defined in ACE where 5 types and 24 subtypes need to be extracted.</S><S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 51 |  Reference Article:  P05-1053.xml  |  Citing Article:  P06-2012.xml  |  Citation Marker Offset:  ['5']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['5']  |  Citation Text:  <S sid ="5" ssid = "5">Many methods have been proposed to deal with this task, including supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).</S>  | Reference Offset: ['169','164','199',] | Reference Text: <S sid ="169" ssid = "51">1 5 7 . 1 6 2 . 1Based In 8 5 3 9 1 0 79.</S><S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="199" ssid = "81">(1999).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 52 |  Reference Article:  P05-1053.xml  |  Citing Article:  P08-2023.xml  |  Citation Marker Offset:  ['29']  |  Citation Marker:  2005  |  Citation Offset:  ['29','30']  |  Citation Text:  <S sid ="29" ssid = "9">Based on his work, Zhou et al (2005)</S><S sid ="30" ssid = "10">further incorporated the base phrase chunking information and semi-automatically collected country name list and personal relative trigger word list.</S>  | Reference Offset: ['66','173','181',] | Reference Text: <S sid ="66" ssid = "9">Since a pronominal mention (especially neutral pronoun such as â€˜itâ€™ and â€˜itsâ€™) contains little information about the sense of the mention, the co- reference chain is used to decide its sense.</S><S sid ="173" ssid = "55">9 2 2 . 9 3 6 . 4 Relative Locati on 3 5 8 1 88.</S><S sid ="181" ssid = "63">6 6 4 . 2 6 1 . 8 Memb er 2 2 4 1 0 4 3 6 74.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 53 |  Reference Article:  P05-1053.xml  |  Citing Article:  P09-1113.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['39']  |  Citation Text:  <S sid ="39" ssid = "39">While syntactic features are known to improve the performance of supervised IE, at least using clean hand-labeled ACE data (Zhou et al., 2007; Zhou et al., 2005), we do not know whether syntactic features can improve the performance of unsupervised or distantly supervised IE.</S>  | Reference Offset: ['209','203','172',] | Reference Text: <S sid ="209" ssid = "91">(2004).</S><S sid ="203" ssid = "85">(2002).</S><S sid ="172" ssid = "54">9 2 8 . 8 4 0 . 4 N EA R 3 5 8 1 88.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 54 |  Reference Article:  P05-1053.xml  |  Citing Article:  P09-1113.xml  |  Citation Marker Offset:  ['52']  |  Citation Marker:  2005  |  Citation Offset:  ['50','51','52']  |  Citation Text:  <S sid ="50" ssid = "10">More recent approaches have used deeper syntactic information derived from parses of the input sentences, including work exploiting syntactic dependencies by Lin and Pantel (2001) and Snow et al.</S><S sid ="51" ssid = "11">(2005), and work in the ACE paradigm such as Zhou et al.</S><S sid ="52" ssid = "12">(2005) and Zhou et al.</S><S sid ="53" ssid = "13">(2007).</S>  | Reference Offset: ['168','167','175',] | Reference Text: <S sid ="168" ssid = "50"># of other mentions in between 0 1 2 3 >= 4 Ov era ll # 0 3 9 9 1 1 6 1 1 1 0 0 4 1 6 3 o f 1 2 3 5 0 3 1 5 2 6 2 0 2 6 9 3 th e w o r d s 2 4 6 5 9 5 7 2 0 5 6 9 i n 3 3 1 1 2 3 4 1 4 0 0 5 5 9 b e t w e e n 4 2 0 4 2 2 5 2 9 2 3 4 6 3 5 1 1 1 1 1 3 3 8 2 1 2 6 5 > = 6 2 6 2 2 9 7 2 7 7 1 4 8 13 4 1 1 1 8 O v e r a l l 7 6 9 4 1 4 4 0 4 0 2 1 5 6 13 8 9 8 3 0 Table 3: Distribution of relations over #words and #other mentions in between in the training data Ty pe Subtyp e #Test ing Insta nces #C orr ect #E rro r P R F A T 3 9 2 2 2 4 1 0 5 68.</S><S sid ="167" ssid = "49">This suggests that relation detection is critical for relation extraction.</S><S sid ="175" ssid = "57">1 6 4 . 6 6 8 . 6Part Of 1 3 6 7 6 3 2 70.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 55 |  Reference Article:  P05-1053.xml  |  Citing Article:  P09-1114.xml  |  Citation Marker Offset:  ['25']  |  Citation Marker:  2005  |  Citation Offset:  ['23','24','25']  |  Citation Text:  <S sid ="23" ssid = "1">Recent work on relation extraction has been dominated by feature-based and kernel-based supervised learning methods.</S><S sid ="24" ssid = "2">Zhou et al.</S><S sid ="25" ssid = "3">(2005) and Zhao and Grishman (2005) studied various features and feature combinations for relation extraction.</S>  | Reference Offset: ['180','179','105',] | Reference Text: <S sid ="180" ssid = "62">1 5 3 . 7 6 2 . 3 Manag ement 1 6 5 1 0 6 7 2 59.</S><S sid ="179" ssid = "61">8 6 9 . 4 7 2 . 6 General Staff 2 0 1 1 0 8 4 6 71.</S><S sid ="105" ssid = "48">We also extend the list by collecting the trigger words from the head words of the mentions in the training data according to their indicating relationships.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 56 |  Reference Article:  P05-1053.xml  |  Citing Article:  P09-1114.xml  |  Citation Marker Offset:  ['7']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['7']  |  Citation Text:  <S sid ="7" ssid = "7">Recent work on relation extraction has shown that supervised machine learning coupled with intelligent feature engineering or kernel design provides state-of-the-art solutions to the problem (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008).</S>  | Reference Offset: ['171','173','85',] | Reference Text: <S sid ="171" ssid = "53">4 5 4 . 8 5 3 . 5 Reside nce 6 6 1 9 9 67.</S><S sid ="173" ssid = "55">9 2 2 . 9 3 6 . 4 Relative Locati on 3 5 8 1 88.</S><S sid ="85" ssid = "28">The related work mentioned in Section 2 extended to explore the information embedded in the full parse trees.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 57 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-1053.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">Then the feature based method explicitly extracts a variety of lexical, syntactic and semantic features for statistical learning, either generative or discriminative (Miller et al., 2000; Kambhatla, 2004; Boschee et al., 2005; Grishman et al., 2005; Zhou et al., 2005; Jiang and Zhai, 2007).</S>  | Reference Offset: ['168','169','177',] | Reference Text: <S sid ="168" ssid = "50"># of other mentions in between 0 1 2 3 >= 4 Ov era ll # 0 3 9 9 1 1 6 1 1 1 0 0 4 1 6 3 o f 1 2 3 5 0 3 1 5 2 6 2 0 2 6 9 3 th e w o r d s 2 4 6 5 9 5 7 2 0 5 6 9 i n 3 3 1 1 2 3 4 1 4 0 0 5 5 9 b e t w e e n 4 2 0 4 2 2 5 2 9 2 3 4 6 3 5 1 1 1 1 1 3 3 8 2 1 2 6 5 > = 6 2 6 2 2 9 7 2 7 7 1 4 8 13 4 1 1 1 8 O v e r a l l 7 6 9 4 1 4 4 0 4 0 2 1 5 6 13 8 9 8 3 0 Table 3: Distribution of relations over #words and #other mentions in between in the training data Ty pe Subtyp e #Test ing Insta nces #C orr ect #E rro r P R F A T 3 9 2 2 2 4 1 0 5 68.</S><S sid ="169" ssid = "51">1 5 7 . 1 6 2 . 1Based In 8 5 3 9 1 0 79.</S><S sid ="177" ssid = "59">8 5 1 . 9 4 3 . 8 R O LE 6 9 9 4 4 3 8 2 84.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 58 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-1053.xml  |  Citation Marker Offset:  ['81']  |  Citation Marker:  2005  |  Citation Offset:  ['80','81']  |  Citation Text:  <S sid ="80" ssid = "44">We first adopted the full feature set from Zhou et al.</S><S sid ="81" ssid = "45">(2005), a state-of-the-art feature based relation extraction system.</S>  | Reference Offset: ['180','179','134',] | Reference Text: <S sid ="180" ssid = "62">1 5 3 . 7 6 2 . 3 Manag ement 1 6 5 1 0 6 7 2 59.</S><S sid ="179" ssid = "61">8 6 9 . 4 7 2 . 6 General Staff 2 0 1 1 0 8 4 6 71.</S><S sid ="134" ssid = "16">â€¢ The usefulness of mention level features is quite limited.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 59 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-1053.xml  |  Citation Marker Offset:  ['86']  |  Citation Marker:  2005  |  Citation Offset:  ['85','86']  |  Citation Text:  <S sid ="85" ssid = "49">In addition, we cherry-picked the following features which were not included in Zhou et al.</S><S sid ="86" ssid = "50">(2005) but were shown to be quite effective for relation extraction.</S>  | Reference Offset: ['168','169','127',] | Reference Text: <S sid ="168" ssid = "50"># of other mentions in between 0 1 2 3 >= 4 Ov era ll # 0 3 9 9 1 1 6 1 1 1 0 0 4 1 6 3 o f 1 2 3 5 0 3 1 5 2 6 2 0 2 6 9 3 th e w o r d s 2 4 6 5 9 5 7 2 0 5 6 9 i n 3 3 1 1 2 3 4 1 4 0 0 5 5 9 b e t w e e n 4 2 0 4 2 2 5 2 9 2 3 4 6 3 5 1 1 1 1 1 3 3 8 2 1 2 6 5 > = 6 2 6 2 2 9 7 2 7 7 1 4 8 13 4 1 1 1 8 O v e r a l l 7 6 9 4 1 4 4 0 4 0 2 1 5 6 13 8 9 8 3 0 Table 3: Distribution of relations over #words and #other mentions in between in the training data Ty pe Subtyp e #Test ing Insta nces #C orr ect #E rro r P R F A T 3 9 2 2 2 4 1 0 5 68.</S><S sid ="169" ssid = "51">1 5 7 . 1 6 2 . 1Based In 8 5 3 9 1 0 79.</S><S sid ="127" ssid = "9">5.2 Experimental Results.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
