Citance Number: 1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['137', '138', '8', '11'] | Reference Text:  <S sid ="137" ssid = "62">This result is comparable with the results described in (Baldwin 1997).</S><S sid ="138" ssid = "63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 18 | Reference Article:  P98-2143.xml | Citing Article:  I08-1004.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset:  ['11', '8', '10', '92'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="92" ssid = "17">In particular, this strategy can often override incorrect decisions linked with strong centering preference (Mitkov &amp; Belguith I998) or syntactic and semantic parallelism prefer­ ences (see below).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 19 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['23'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['22','23'] | Citation Text:  <S sid ="22" ssid = "22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid ="23" ssid = "23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S> | Reference Offset:  ['11', '8', '77', '9'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="77" ssid = "2">For this purpose we have drawn up a compre­ hensive list of all such cases; to our knowledge, no other computational treatment of pronominal anaphora resolu­ tion has addressed the problem of &quot;agreement excep­ tions&quot;.</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 20 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "2">How these factors are helpful in anaphora resolution in English language was worked out by Mitkov (Mitkov, 1998), but their role in Urdu discourse for the resolution of personal pronouns is more cherished.</S> | Reference Offset:  ['11', '8', '15', '93'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="93" ssid = "18">3.1 Evaluation A. Our first evaluation exercise (Mitkov &amp; Stys 1997) was based on a random sample text from a technical manual in English (Minolta 1994).</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation'] | Annotator:  CIST |


Citance Number: 21 | Reference Article:  P98-2143.xml | Citing Article:  J01-4003.xml | Citation Marker Offset:  ['5'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S> | Reference Offset:  ['8', '11', '117', '10'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="117" ssid = "42">Note that &quot;Baseline subject&quot; can be assessed both in terms of recall and precision because this &quot;version&quot; is not robust: in the event of no subject being available, it is not able to propose an antecedent (the manual guide used as evaluation text contained many im­ perative zero-subject sentences).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 22 | Reference Article:  P98-2143.xml | Citing Article:  J01-4005.xml | Citation Marker Offset:  ['318'] | Citation Marker:  1998 | Citation Offset:  ['318'] | Citation Text:  <S sid ="318" ssid = "14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S> | Reference Offset:  ['8', '11', '85', '86'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="85" ssid = "10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not real­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S><S sid ="86" ssid = "11">The lack of syntactic information, for instance, means giving up c-cornmand constraints and subject preference (or on other occasions object preference, see Mitkov I995) which could be used in center tracking.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 23 | Reference Article:  P98-2143.xml | Citing Article:  J01-4006.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['45'] | Citation Text:  <S sid ="45" ssid = "33">Exa mple s: (we athe r) It is raini ng, (tim e) It is 5 o&apos;clo ck, and (am bien t envi ron men t) It is hot in here . reports provide no exclusion details at all, and even when authors do provide them, the descriptions they use are often incomplete or confusing, as in these examples: â€¢ &quot;7 of the pronouns were non-anaphoric and 16 exophoric&quot; (Mitkov 1998, page 872).</S> | Reference Offset:  ['135', '52', '134', '13'] | Reference Text:  <S sid ="135" ssid = "60">Given that our approach is robust and returns an­ tecedent for each pronoun, in order to make the comparison as fair as possible, we used CogNIAC&apos;s &quot;resolve all&quot; version by simulating it manually on the same training data used in evaluation B above.</S><S sid ="52" ssid = "38">The heuristics used is that in constructions of the form &quot;...(You) V 1 NP ... con (you) V 2 it (con (you) V3 it)&quot;, where con e {and/or/before/after...}, the noun phrase immediately after V 1 is a very likely candidate for antecedent of the pronoun &quot;it&quot; imme­ diately following V2 and is therefore given preference (scores 2 and 0).</S><S sid ="134" ssid = "59">The reason is that both our approach and Breck Baldwin&apos;s approach share common principles (both are knowledge-poor and use a POS tagger to provide the input) and therefore a comparison would be appropriate.</S><S sid ="13" ssid = "13">It is also an example of how anaphors in a specific genre can be resolved quite successfully without any sophisticated linguistic knowledge or even without parsing.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 24 | Reference Article:  P98-2143.xml | Citing Article:  J02-1001.xml | Citation Marker Offset:  ['6'] | Citation Marker:  1998 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S> | Reference Offset:  ['11', '8', '10', '15'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 25 | Reference Article:  P98-2143.xml | Citing Article:  J05-3004.xml | Citation Marker Offset:  ['8'] | Citation Marker:  1998 | Citation Offset:  ['7','8'] | Citation Text:  <S sid ="7" ssid = "7">Most work on anaphora resolution has focused on pronominal anaphora, often achieving good accuracy.</S><S sid ="8" ssid = "8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S> | Reference Offset:  ['11', '8', '98', '12'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="98" ssid = "23">In order to evaluate the effectiveness of the ap­ proach and to explore if I how far it is superior over the baseline models for anaphora resolution, we also tested the sample text on (i) a Baseline Model which checks agreement in number and gender and, where more than one candidate remains, picks as antece­ dent the most recent subject matching the gender and number of the anaphor (ii) a Baseline Model which picks as antecedent the most recent noun phrase that matches the gender and number of the anaphor.</S><S sid ="12" ssid = "12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaph­ ora resolution.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 26 | Reference Article:  P98-2143.xml | Citing Article:  N01-1008.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['9','10','11'] | Citation Text:  <S sid ="9" ssid = "9">The acquisition of exten sive linguistic and discourse knowledge necessaryfor resolving coreference is time consuming, diffi cult and error-prone.</S><S sid ="10" ssid = "10">Neverthless, recent resultsshow that knowledge-poor, empirical methods per form with amazing accuracy on certain forms ofcoreference (cf.</S><S sid ="11" ssid = "11">(Mitkov 1998) (Kennedy and Boguraev 1996) (Kameyama 1997)).</S> | Reference Offset:  ['133', '8', '11', '3'] | Reference Text:  <S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="3" ssid = "3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 27 | Reference Article:  P98-2143.xml | Citing Article:  N01-1008.xml | Citation Marker Offset:  ['63'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['63'] | Citation Text:  <S sid ="63" ssid = "63">Unlike other knowledge-poor methods for coreference resolution (Baldwin 1997) (Mitkov 1998), COCK TAIL filters its most performant rules through massivetraining data, generated by its AUTOTAGCOFtEF com ponent.</S> | Reference Offset:  ['138', '8', '11', '119'] | Reference Text:  <S sid ="138" ssid = "63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 28 | Reference Article:  P98-2143.xml | Citing Article:  N04-1004.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['45'] | Citation Text:  <S sid ="45" ssid = "32">Mitkov showed that a salience-based approach can be applied across genres and without complex syntactic, semantic, and discourse analysis (Mitkov, 1998).</S> | Reference Offset:  ['15', '92', '139', '155'] | Reference Text:  <S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="92" ssid = "17">In particular, this strategy can often override incorrect decisions linked with strong centering preference (Mitkov &amp; Belguith I998) or syntactic and semantic parallelism prefer­ ences (see below).</S><S sid ="139" ssid = "64">It would be fair to say that even though the results show superiority of our approach on the training data used (the genre of technical manuals), they cannot be generalised automatically for other genres or unrestricted texts and for a more accurate picture, further extensive tests are necessary.</S><S sid ="155" ssid = "2">Evaluation shows a success rate of 89.7% for the genre of tech­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 29 | Reference Article:  P98-2143.xml | Citing Article:  P00-1022.xml | Citation Marker Offset:  ['27'] | Citation Marker:  1998 | Citation Offset:  ['27'] | Citation Text:  <S sid ="27" ssid = "27">Consequently, current anaphora resolution methods rely mainly on restrictions and preference heuristics, which employ information originating from morpho-syntactic or shallow semantic analysis, (see Mitkov (1998) for example).</S> | Reference Offset:  ['8', '11', '85', '86'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="85" ssid = "10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not real­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S><S sid ="86" ssid = "11">The lack of syntactic information, for instance, means giving up c-cornmand constraints and subject preference (or on other occasions object preference, see Mitkov I995) which could be used in center tracking.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 30 | Reference Article:  P98-2143.xml | Citing Article:  P00-1022.xml | Citation Marker Offset:  ['178'] | Citation Marker:  1998 | Citation Offset:  ['178'] | Citation Text:  <S sid ="178" ssid = "18">Mitkov (1998) obtains a success rate of 89.7% for pronominal references, working with English technical manuals.</S> | Reference Offset:  ['6', '93', '138', '145'] | Reference Text:  <S sid ="6" ssid = "6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S><S sid ="93" ssid = "18">3.1 Evaluation A. Our first evaluation exercise (Mitkov &amp; Stys 1997) was based on a random sample text from a technical manual in English (Minolta 1994).</S><S sid ="138" ssid = "63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S><S sid ="145" ssid = "6">The evaluation for Polish was based technical manuals available on the Internet (Internet Manual, 1994; Java Manual 1998).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 31 | Reference Article:  P98-2143.xml | Citing Article:  P00-1022.xml | Citation Marker Offset:  ['209'] | Citation Marker:  1998 | Citation Offset:  ['209'] | Citation Text:  <S sid ="209" ssid = "28">Ruslan Mitkov (1998) Robust pronoun resolution th evaluation, several baselines on pronominal anaphora resolution have been implemented, and with limited knowledge.</S> | Reference Offset:  ['11', '15', '133', '1'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S><S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 32 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['65'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['65'] | Citation Text:  <S sid ="65" ssid = "31">We selected for comparative evaluation three approaches extensively cited in the literature: Kennedy and Boguraevâ€™s parser- free version of Lappin and Leassâ€™ RAP (Kennedy and Boguraev, 1996), Baldwinâ€™s pronoun resolution method (Baldwin, 1997) and Mitkovâ€™s knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset:  ['133', '135', '8', '11'] | Reference Text:  <S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S><S sid ="135" ssid = "60">Given that our approach is robust and returns an­ tecedent for each pronoun, in order to make the comparison as fair as possible, we used CogNIAC&apos;s &quot;resolve all&quot; version by simulating it manually on the same training data used in evaluation B above.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 33 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['82'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['82'] | Citation Text:  <S sid ="82" ssid = "48">Mitkovâ€™s approach Mitkovâ€™s approach (Mitkov, 1998b) is a robust anaphora resolution method for technical texts which is based on a set of boosting and impeding indicators applied to each candidate for antecedent.</S> | Reference Offset:  ['17', '98', '119', '1'] | Reference Text:  <S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S><S sid ="98" ssid = "23">In order to evaluate the effectiveness of the ap­ proach and to explore if I how far it is superior over the baseline models for anaphora resolution, we also tested the sample text on (i) a Baseline Model which checks agreement in number and gender and, where more than one candidate remains, picks as antece­ dent the most recent subject matching the gender and number of the anaphor (ii) a Baseline Model which picks as antecedent the most recent noun phrase that matches the gender and number of the anaphor.</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S><S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


