Citance Number: 1 | Reference Article: P98-1046.xml | Citing Article: A00-2034.xml | Citation Marker Offset: ['36','37'] | Citation Marker: Dang et al, 1998 | Citation Offset: ['36','37'] | Citation Text: <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel
Citance Number: 26 | Reference Article: P98-1046.xml | Citing Article: W06-2611.xml | Citation Marker Offset: ['21'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['21'] | Citation Text: <S sid ="21" ssid = "21">A very good candidate seems to be the Intersective Levin classes (Dang et al., 1998) that can be found as well in other predicate resources like PropBank and VerbNet (Kipper et al., 2000).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 27 | Reference Article: P98-1046.xml | Citing Article: W06-2611.xml | Citation Marker Offset: ['83'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['83'] | Citation Text: <S sid ="83" ssid = "19">This constraint of having the same semantic roles is further ensured inside the VerbNet lexi con that is constructed based on a more refined version of the Levin classification called Inter- sective Levin classes (Dang et al., 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 28 | Reference Article: P98-1046.xml | Citing Article: W11-0910.xml | Citation Marker Offset: ['59'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['59'] | Citation Text: <S sid ="59" ssid = "32">Complicating the issue is the phenomenon of regular sense extensions (Dang et al., 1998), where what once may have been coercion has become entrenched and is now seen as a different sense of the verb.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 29 | Reference Article: P98-1046.xml | Citing Article: W99-0503.xml | Citation Marker Offset: ['7'] | Citation Marker: Dang et al , 1998 | Citation Offset: ['6','7'] | Citation Text: <S sid ="6" ssid = "2">In explormg these quest1ons, we focus on verb clasÃÂÃÂ­ Sificatwn for several reasons Verbs are very ImporÃÂÃÂ­ tant sources of knowledge m many language eng1neermg tasks, and the relat10nsh1ps among verbs apÃÂÃÂ­ pear to play a maJor role m the orgamzatwn and use of this knowledge h.nowledge about verb classe 1s cruc1al for lexical acqu1srt10n m support of language generatiOn and machme translatiOn (Dorr, 1997) and document clC!bsrficatwn (Klavans and Kan, 1998), :yet manual class1ficatwn of large numbers of verb&apos;S 1s a d1fficult and resource mtens1ve task (Levm, 1993 MJ!ler et a!</S><S sid ="7" ssid = "3">, 1990, Dang et al , 1998)</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 30 | Reference Article: P98-1046.xml | Citing Article: W99-0632.xml | Citation Marker Offset: ['46'] | Citation Marker: 1998 | Citation Offset: ['45','46'] | Citation Text: <S sid ="45" ssid = "16">Palmer (1999) and Dang et a!.</S><S sid ="46" ssid = "17">(1998) argue that the use of syntactic frames and verb classes can simÃÂÃÂ­ plify the definition of different verb senses.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 31 | Reference Article: P98-1046.xml | Citing Article: W99-0632.xml | Citation Marker Offset: ['203'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['203'] | Citation Text: <S sid ="203" ssid = "23">We also plan to experiment with different classification schemes for verb semantics such as WordNet (Miller et al., 1990) and intersective Levin classes (Dang et al., 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


