Citance Number: 1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ­ proach.</S> | Reference Offset:  ['91', '101', '128', '227'] | Reference Text:  <S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S><S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="227" ssid = "91">4.4 Chinese Personal Names.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 25 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['613'] | Citation Marker:  1996 | Citation Offset:  ['612','613'] | Citation Text:  <S sid ="612" ssid = "54">The weighted finite-state transducer model developed by Sproat et al.</S><S sid ="613" ssid = "55">(1996) is another excellent representative example.</S> | Reference Offset:  ['67', '369', '398', '436'] | Reference Text:  <S sid ="67" ssid = "5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S><S sid ="369" ssid = "78">Examples are given in Table 4.</S><S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S><S sid ="436" ssid = "39">Consider first the examples in (2).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 26 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['621'] | Citation Marker:  1996 | Citation Offset:  ['621'] | Citation Text:  <S sid ="621" ssid = "63">While it may not be totally impossible to fully incorporate such knowledge and heuristics into the general framework of path evaluation and searching, they are apÂ­ parently employed neither in Sproat et al.</S><S sid ="622" ssid = "64">(1996) nor in Ma (1996).</S> | Reference Offset:  ['16', '67', '456', '293'] | Reference Text:  <S sid ="16" ssid = "16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : &amp; ; ? &apos; H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? &apos; (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : &amp; I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l &apos; J a p a n e s e &apos; &apos; o c t o p u s &apos; &apos; h o w &apos; &apos; s a y &apos; (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&amp;I ri4 wen2 zhangl yu2zen3 me0 shuol &apos;Japan&apos; &apos;essay&apos; &apos;fish&apos; &apos;how&apos; &apos;say&apos; A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid ="67" ssid = "5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S><S sid ="456" ssid = "2">The model we use provides a simple framework in which to incorporate a wide variety of lexical information in a uniform way.</S><S sid ="293" ssid = "2">The first is an evaluation of the system&apos;s ability to mimic humans at the task of segmenting text into word-sized units; the second evaluates the proper-name identification; the third measures the performance on morphological analysis.</S> | Discourse Facet:  ['Aim_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 27 | Reference Article:  J96-3004.xml | Citing Article:  N10-1068.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Many natural language models can be captured by weighted finite-state transducers (Pereira et al., 1994; Sproat et al., 1996; Knight and AlOnaizan, 1998; Clark, 2002; Kolak et al., 2003; Mathias and Byrne, 2006), which offer several benefits:â€¢ WFSTs provide a uniform knowledge represen tation.</S> | Reference Offset:  ['67', '244', '457', '245'] | Reference Text:  <S sid ="67" ssid = "5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S><S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S><S sid ="457" ssid = "3">The use of weighted transducers in particular has the attractive property that the model, as it stands, can be straightforwardly interfaced to other modules of a larger speech or natural language system: presumably one does not want to segment Chinese text for its own sake but instead with a larger purpose in mind.</S><S sid ="245" ssid = "109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 28 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['41'] | Citation Marker:  1996 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "18">One example of such approaches is Sproat et al.</S><S sid ="42" ssid = "19">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset:  ['34', '67', '369', '398'] | Reference Text:  <S sid ="34" ssid = "34">For example, suppose one is building a ITS system for Mandarin Chinese.</S><S sid ="67" ssid = "5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S><S sid ="369" ssid = "78">Examples are given in Table 4.</S><S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 29 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['122'] | Citation Marker:  1996 | Citation Offset:  ['122'] | Citation Text:  <S sid ="122" ssid = "27">Because any character strings can be in principle named entities of one or more types, to limit the number of candidates for a more effective search, we generate named entity candidates, given an input string, in two steps: First, for each type, we use a set of constraints (which are compiled by 3 Sproat et al.</S> | Reference Offset:  ['230', '422', '229', '263'] | Reference Text:  <S sid ="230" ssid = "94">Given names are most commonly two hanzi long, occasionally one hanzi long: there are thus four possible name types, which can be described by a simple set of context-free rewrite rules such as the following: 1.</S><S sid ="422" ssid = "25">Two sets of examples from Gan are given in (1) and (2) (:::::: Gan&apos;s Appendix B, exx.</S><S sid ="229" ssid = "93">The family name set is restricted: there are a few hundred single-hanzi family names, and about ten double-hanzi ones.</S><S sid ="263" ssid = "127">We of course also fail to identify, by the methods just described, given names used without their associated family name.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 30 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['155'] | Citation Marker:  1996 | Citation Offset:  ['155'] | Citation Text:  <S sid ="154" ssid = "59">5.2.4 Transliterations of foreign names As described in Sproat et al.</S><S sid ="155" ssid = "60">(1996): FNs are usually transliterated using Chinese character strings whose sequential pronunciation mimics the source language pronunciation of the name.</S> | Reference Offset:  ['281', '24', '280', '399'] | Reference Text:  <S sid ="281" ssid = "145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S><S sid ="24" ssid = "24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S><S sid ="280" ssid = "144">4.5 Transliterations of Foreign Words.</S><S sid ="399" ssid = "2">This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 31 | Reference Article:  J96-3004.xml | Citing Article:  P06-1010.xml | Citation Marker Offset:  ['43'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['42','43'] | Citation Text:  <S sid ="42" ssid = "10">Candidate Chinese transliterations are generated by consulting a list of characters that are frequently used for transliterating foreign names.</S><S sid ="43" ssid = "11">As discussed elsewhere (Sproat et al., 1996), a subset of a few hundred characters (out of several thousand) tends to be used overwhelmingly for transliterating foreign names into Chinese.</S> | Reference Offset:  ['161', '281', '399', '283'] | Reference Text:  <S sid ="161" ssid = "25">7 Big 5 is the most popular Chinese character coding standard in use in Taiwan and Hong Kong.</S><S sid ="281" ssid = "145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S><S sid ="399" ssid = "2">This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.</S><S sid ="283" ssid = "147">Fortunately, there are only a few hundred hanzi that are particularly common in transliterations; indeed, the commonest ones, such as E. bal, m er3, and iij al are often clear indicators that a sequence of hanzi containing them is foreign: even a name like !:i*m xia4mi3-er3 &apos;Shamir,&apos; which is a legal Chi­ nese personal name, retains a foreign flavor because of liM.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 32 | Reference Article:  J96-3004.xml | Citing Article:  P06-1126.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Chinese word segmentation is the initial stage of many Chinese language processing tasks, and has received a lot of attention in the literature (Sproat et al., 1996; Sun and Tsou, 2001; Zhang et al., 2003; Peng et al., 2004).</S> | Reference Offset:  ['88', '137', '20', '21'] | Reference Text:  <S sid ="88" ssid = "26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S><S sid ="137" ssid = "1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="21" ssid = "21">In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; a Chinese sentence is shown in Figure 1.3 Partly as a result of this, the notion &quot;word&quot; has never played a role in Chinese philological tradition, and the idea that Chinese lacks any­ thing analogous to words in European languages has been prevalent among Western sinologists; see DeFrancis (1984).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 33 | Reference Article:  J96-3004.xml | Citing Article:  P07-1015.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['113'] | Citation Text:  <S sid ="113" ssid = "21">Using the 495 characters that are frequently used for transliterating foreign names (Sproat et al., 1996), a sequence of three of more characters from the list was taken as a possible candidate for Chinese.</S> | Reference Offset:  ['161', '281', '283', '284'] | Reference Text:  <S sid ="161" ssid = "25">7 Big 5 is the most popular Chinese character coding standard in use in Taiwan and Hong Kong.</S><S sid ="281" ssid = "145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S><S sid ="283" ssid = "147">Fortunately, there are only a few hundred hanzi that are particularly common in transliterations; indeed, the commonest ones, such as E. bal, m er3, and iij al are often clear indicators that a sequence of hanzi containing them is foreign: even a name like !:i*m xia4mi3-er3 &apos;Shamir,&apos; which is a legal Chi­ nese personal name, retains a foreign flavor because of liM.</S><S sid ="284" ssid = "148">As a first step towards modeling transliterated names, we have collected all hanzi occurring more than once in the roughly 750 foreign names in our dictionary, and we estimate the probabil­ ity of occurrence of each hanzi in a transliteration (pTN(hanzi;)) using the maximum likelihood estimate.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 34 | Reference Article:  J96-3004.xml | Citing Article:  P07-1016.xml | Citation Marker Offset:  ['70'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['70'] | Citation Text:  <S sid ="70" ssid = "42">As discussed elsewhere (Sproat et al., 1996), out of several thousand common Chinese characters, a subset of a few hundred characters tends to be used overwhelmingly for transliterating English names to Chinese, e.g. only 731 Chinese characters are adopted in the E-C corpus.</S> | Reference Offset:  ['33', '161', '23', '21'] | Reference Text:  <S sid ="33" ssid = "33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S><S sid ="161" ssid = "25">7 Big 5 is the most popular Chinese character coding standard in use in Taiwan and Hong Kong.</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="21" ssid = "21">In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; a Chinese sentence is shown in Figure 1.3 Partly as a result of this, the notion &quot;word&quot; has never played a role in Chinese philological tradition, and the idea that Chinese lacks any­ thing analogous to words in European languages has been prevalent among Western sinologists; see DeFrancis (1984).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 35 | Reference Article:  J96-3004.xml | Citing Article:  P12-1110.xml | Citation Marker Offset:  ['105'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['105'] | Citation Text:  <S sid ="105" ssid = "53">3.3.1 Dictionary features Because segmentation using a dictionary alone can serve as a strong baseline in Chinese word segmentation (Sproat et al., 1996), the use of dictionaries is expected to make our joint model more robust and enables us to investigate the contribution of the syntactic dependency in a more realistic setting.</S> | Reference Offset:  ['398', '455', '134', '135'] | Reference Text:  <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S><S sid ="455" ssid = "1">Despite these limitations, a purely finite-state approach to Chinese word segmentation enjoys a number of strong advantages.</S><S sid ="134" ssid = "72">The major problem for all segmentation systems remains the coverage afforded by the dictionary and the lexical rules used to augment the dictionary to deal with unseen words.</S><S sid ="135" ssid = "73">The dictionary sizes reported in the literature range from 17,000 to 125,000 entries, and it seems reasonable to assume that the coverage of the base dictionary constitutes a major factor in the performance of the various approaches, possibly more important than the particular set of methods used in the segmentation.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 36 | Reference Article:  J96-3004.xml | Citing Article:  P12-1111.xml | Citation Marker Offset:  ['91'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['91'] | Citation Text:  <S sid ="91" ssid = "31">In early work, rule-based models find words one by one based on heuristics such as forward maximum match (Sproat et al., 1996).</S> | Reference Offset:  ['108', '335', '244', '5'] | Reference Text:  <S sid ="108" ssid = "46">The most popular approach to dealing with seg­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S><S sid ="335" ssid = "44">16 As one reviewer points out, one problem with the unigram model chosen here is that there is still a. tendency to pick a segmentation containing fewer words.</S><S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S><S sid ="5" ssid = "5">A moment&apos;s reflection will reveal that things are not quite that simple.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 37 | Reference Article:  J96-3004.xml | Citing Article:  P97-1041.xml | Citation Marker Offset:  ['12'] | Citation Marker:  1996 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">For a discussion of recent Chinese segmentation work, see Sproat et al. {1996).</S> | Reference Offset:  ['101', '402', '23', '88'] | Reference Text:  <S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="402" ssid = "5">(For some recent corpus-based work on Chinese abbreviations, see Huang, Ahrens, and Chen [1993].)</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="88" ssid = "26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 38 | Reference Article:  J96-3004.xml | Citing Article:  P97-1041.xml | Citation Marker Offset:  ['39'] | Citation Marker:  1996 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "5">It is rule-based, but relies on 2 See, for example, Sproat et al.</S><S sid ="40" ssid = "6">(1996)</S> | Reference Offset:  ['16', '101', '369', '459'] | Reference Text:  <S sid ="16" ssid = "16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : &amp; ; ? &apos; H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? &apos; (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : &amp; I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l &apos; J a p a n e s e &apos; &apos; o c t o p u s &apos; &apos; h o w &apos; &apos; s a y &apos; (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&amp;I ri4 wen2 zhangl yu2zen3 me0 shuol &apos;Japan&apos; &apos;essay&apos; &apos;fish&apos; &apos;how&apos; &apos;say&apos; A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="369" ssid = "78">Examples are given in Table 4.</S><S sid ="459" ssid = "5">Furthermore, by inverting the transducer so that it maps from phonemic transcriptions to hanzi sequences, one can apply the segmenter to other problems, such as speech recognition (Pereira, Riley, and Sproat 1994).</S> | Discourse Facet:  ['Aim_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 39 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['145'] | Citation Marker:  1996 | Citation Offset:  ['144','145'] | Citation Text:  <S sid ="144" ssid = "11">The actual implementation of the weighted finiteÂ­ state transducer by Sproat et al.</S><S sid ="145" ssid = "12">(1996) can be taken as an evidence that the hypothesis of one tokenization per source has already in practical use.</S> | Reference Offset:  ['33', '138', '374', '398'] | Reference Text:  <S sid ="33" ssid = "33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S><S sid ="138" ssid = "2">More formally, we start by representing the dictionary D as a Weighted Finite State Trans­ ducer (WFST) (Pereira, Riley, and Sproat 1994).</S><S sid ="374" ssid = "83">This is a rather important source of errors in name identifi­ cation, and it is not really possible to objectively evaluate a name recognition system without considering the main lexicon with which it is used.</S><S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 40 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['150'] | Citation Marker:  1996 | Citation Offset:  ['149','150'] | Citation Text:  <S sid ="149" ssid = "2">utilizing local and sentential constraints, what Sproat et al.</S><S sid ="150" ssid = "3">( 1996) implemented was simply a token unigram scoring function.</S> | Reference Offset:  ['47', '91', '101', '212'] | Reference Text:  <S sid ="47" ssid = "8">TIS systems in general need to do more than simply compute the.</S><S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S><S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="212" ssid = "76">Figure 5 shows how this model is implemented as part of the dictionary WFST.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 41 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['5','6'] | Citation Text:  <S sid ="5" ssid = "5">In Japanese, around 95% word segmentation acÂ­ curacy is reported by using a word-based lanÂ­ guage model and the Viterbi-like dynamic programÂ­ ming procedures (Nagata, 1994; Yamamoto, 1996; Takeuchi and Matsumoto, 1997; Haruno and MatÂ­ sumoto, 1997).</S><S sid ="6" ssid = "6">About the same accuracy is reported in Chinese by statistical methods (Sproat et al., 1996).</S> | Reference Offset:  ['124', '168', '329', '398'] | Reference Text:  <S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S><S sid ="168" ssid = "32">Word frequencies are estimated by a re-estimation procedure that involves apply­ ing the segmentation algorithm presented here to a corpus of 20 million words,8 using 8 Our training corpus was drawn from a larger corpus of mixed-genre text consisting mostly of.</S><S sid ="329" ssid = "38">This is to allow for fair comparison between the statistical method and GR, which is also purely dictionary-based.</S><S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 42 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">There are two approaches to solve this problem: to increase the coverage of the dictionary (Fung and Wu, 1994; Chang et al., 1995; Mori and Nagao, 1996) and to design a better model for unknown words (Nagata, 1996; Sproat et al., 1996).</S> | Reference Offset:  ['245', '415', '135', '244'] | Reference Text:  <S sid ="245" ssid = "109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S><S sid ="415" ssid = "18">The major problem for our seg­ menter, as for all segmenters, remains the problem of unknown words (see Fung and Wu [1994]).</S><S sid ="135" ssid = "73">The dictionary sizes reported in the literature range from 17,000 to 125,000 entries, and it seems reasonable to assume that the coverage of the base dictionary constitutes a major factor in the performance of the various approaches, possibly more important than the particular set of methods used in the segmentation.</S><S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 43 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">To improve word segmentaÂ­ tion accuracy, (Nagata, 1996) used a single general purpose unknown word model, while (Sproat et al., 1996) used a set of specific word models such as for plurals, personal names, and transliterated foreign words.</S> | Reference Offset:  ['170', '399', '20', '169'] | Reference Text:  <S sid ="170" ssid = "34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S><S sid ="399" ssid = "2">This architecture provides a uniform framework in which it is easy to incorporate not only listed dictionary entries but also morphological derivatives, and models for personal names and foreign names in transliteration.</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="169" ssid = "33">newspaper material, but also including kungfu fiction, Buddhist tracts, and scientific material.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 44 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['178'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['178'] | Citation Text:  <S sid ="178" ssid = "108">Word segmentation accuracy is expressed in terms of recall and precision as is done in the previous research (Sproat et al., 1996).</S> | Reference Offset:  ['128', '405', '357', '363'] | Reference Text:  <S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="405" ssid = "8">First of all, most previous articles report perfor­ mance in terms of a single percent-correct score, or else in terms of the paired measures of precision and recall.</S><S sid ="357" ssid = "66">Interestingly, Chang et al. report 80.67% recall and 91.87% precision on an 11,000 word corpus: seemingly, our system finds as many names as their system, but with four times as many false hits.</S><S sid ="363" ssid = "72">On the first of these-the B set-our system had 64% recall and 86% precision; on the second-the C set-it had 33% recall and 19% precision.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 45 | Reference Article:  J96-3004.xml | Citing Article:  W00-0803.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['29'] | Citation Text:  <S sid ="29" ssid = "29">Segmentation rutd morphological analysis related issues of both Chinese and Japanese are intensively addressed elsewhere (Sproat et al., 1996; MatsUIIt(ltO et al., 1997 and many others).</S> | Reference Offset:  ['186', '394', '23', '21'] | Reference Text:  <S sid ="186" ssid = "50">4.3 Morphological Analysis.</S><S sid ="394" ssid = "103">Evaluation of Morphological Analysis.</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="21" ssid = "21">In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; a Chinese sentence is shown in Figure 1.3 Partly as a result of this, the notion &quot;word&quot; has never played a role in Chinese philological tradition, and the idea that Chinese lacks any­ thing analogous to words in European languages has been prevalent among Western sinologists; see DeFrancis (1984).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 46 | Reference Article:  J96-3004.xml | Citing Article:  W00-1207.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Purely statistical methods of word segmentation (e.g. de Marcken 1996, Sproat et al 1996, Tung and Lee 1994, Lin et al (1993), Chiang et al (1992), Lua, Huang et al, etc.) often fail to identify those words because of the sparse data problem, as the likelihood for those words to appear in the training texts is extremely low.</S> | Reference Offset:  ['124', '125', '115', '116'] | Reference Text:  <S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S><S sid ="125" ssid = "63">Some of these approaches (e.g., Lin, Chiang, and Su [1993]) attempt to identify unknown words, but do not ac­ tually tag the words as belonging to one or another class of expression.</S><S sid ="115" ssid = "53">Others depend upon various lexical heuris­ tics: for example Chen and Liu (1992) attempt to balance the length of words in a three-word window, favoring segmentations that give approximately equal length for each word.</S><S sid ="116" ssid = "54">Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


