Citance Number:  1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid="28" ssid="4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ\xad curacy (cf.</S><S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['147'] | Reference Text:  <S sid="147" ssid="8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolv­ ing anaphors (with critical success rate of 86.2%).</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 
Citance Number:  41 | Reference Article:  P98-2143.xml | Citing Article:  P05-1021.xml | Citation Marker Offset:  ['97'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['97'] | Citation Text:  <S sid="97" ssid="23">ParalStuctmarks whether a candidate and an anaphor have sim StatSemN (C, ana) = c max StatSem(ci , ana) (ana) ilar surrounding words, which is also a salience factor for the candidate evaluation (Mitkov, 1998).</S> | Reference Offset:  ['121'] | Reference Text:  <S sid="121" ssid="46">A case where the system failed was when the anaphor and the antecedent were in the same sen­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  42 | Reference Article:  P98-2143.xml | Citing Article:  P06-1006.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['12'] | Citation Text:  <S sid="12" ssid="12">These features are calculated by mining the parse trees, and then could be used for resolution by using manually designed rules (Lappin and Leass, 1994; Kennedy and Boguraev, 1996; Mitkov, 1998), or using machine-learning methods (Aone and Bennett, 1995; Yang et al., 2004; Luo and Zitouni, 2005).</S> | Reference Offset:  ['149'] | Reference Text:  <S sid="149" ssid="10">Our preference-based approach showed clear su­ periority over both baseline models.</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


Citance Number:  43 | Reference Article:  P98-2143.xml | Citing Article:  P07-1068.xml | Citation Marker Offset:  ['5'] | Citation Marker:  1998 | Citation Offset:  ['5'] | Citation Text:  <S sid="5" ssid="5">In knowledge-lean approaches, coreference resolvers employ only morpho-syntactic cues as knowledge sources in the resolution process (e.g., Mitkov (1998), Tetreault (2001)).</S> | Reference Offset:  ['142'] | Reference Text:  <S sid="142" ssid="3">We used the robust approach as a basis for devel­ oping a genre-specific reference resolution approach in Polish.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  44 | Reference Article:  P98-2143.xml | Citing Article:  P10-2049.xml | Citation Marker Offset:  ['78'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['78'] | Citation Text:  <S sid="78" ssid="4">The algorithm with the next-to-highest results in (Char- niak and Elsner, 2009) is MARS (Mitkov, 1998) from the GuiTAR (Poesio and Kabadjov, 2004) toolkit.</S> | Reference Offset:  ['107'] | Reference Text:  <S sid="107" ssid="32">As far as the typical failure cases are concerned, we anticipate the knowledge-poor approach to have difficulties with sentences which have a more com­ plex syntactic structure.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  45 | Reference Article:  P98-2143.xml | Citing Article:  P13-3012.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['15'] | Citation Text:  <S sid="15" ssid="2">While not developed within a graph-based framework, factor-based approaches for pronoun resolution (Mitkov, 1998) can be regarded as greedy clustering in a multigraph, where edges representing factors for pronoun resolution have negative or positive weight.</S> | Reference Offset:  ['47'] | Reference Text:  <S sid="47" ssid="33">The collocation preference here is restricted to the patterns "noun phrase (pronoun), verb" and "verb, noun phrase (pronoun)".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  46 | Reference Article:  P98-2143.xml | Citing Article:  S10-1019.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['4','5','6','7'] | Citation Text:  <S sid="4" ssid="4">Coreference resolution is a field in which major progress has been made in the last decade.</S><S sid="5" ssid="5">After a concentration on rule-based systems (cf.</S><S sid="6" ssid="6">e.g.</S><S sid="7" ssid="7">(Mitkov, 1998; Poesio et al., 2002; Markert and Nissim, 2005)), machine learning methods were embraced (cf.</S> | Reference Offset:  ['95','113'] | Reference Text:  <S sid="95" ssid="20">The resolution of anaphors was carried out with a suc­ cess rate of 95.8%.</S><S sid="113" ssid="38">The evaluation carried out was manual to ensure that no added error was gen­ erated (e.g. due to possible wrong sentence/clause detection or POS tagging).</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  47 | Reference Article:  P98-2143.xml | Citing Article:  W01-0704.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['82','83'] | Citation Text:  <S sid="82" ssid="6">They use limited knowledge (lexical, morphological and syntacticinformation sources) for the detection of the cor rect antecedent.</S><S sid="83" ssid="7">These proposals have report high success rates for English (89.7%) (Mitkov, 1998) </S> | Reference Offset:  ['4','6'] | Reference Text:  <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S><S sid="6" ssid="6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  48 | Reference Article:  P98-2143.xml | Citing Article:  W01-0717.xml | Citation Marker Offset:  ['145'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['145'] | Citation Text:  <S sid="145" ssid="1">There are many recent approaches to this prob lem, e. g. syntax-based approaches (Lappin and Leass, 1994), cooccurrence-based approaches(Dagan and Itai, 1990), machine-learning approaches (Connolly et al., 1994; Aone and Ben nett, 1996; Soon et al., 1999), uncertainty reasoning approaches (Mitkov, 1995; Mitkov, 1997), and robust knowledge-poor approaches (Kennedy and Boguarev, 1996; Baldwin, 1997; Mitkov, 1998b; Mitkov, 1999).</S> | Reference Offset:  ['133'] | Reference Text:  <S sid="133" ssid="58">tive evaluation of Breck Baldwin's CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin's Cog­ NIAC (Baldwin 1997) approach which features "high precision coreference with limited knowledge and linguistics resources".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  49 | Reference Article:  P98-2143.xml | Citing Article:  W04-0707.xml | Citation Marker Offset:  ['222'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['222'] | Citation Text:  <S sid="222" ssid="165">G U I TA R (Poesio and AlexandrovKabadjov, 2004) is a general-purpose anaphoric resolver that includes an implementation of the Vieira / Poesio algorithm for definite descriptions and of Mitkovâ€™s algorithm for pronoun resolution (Mitkov, 1998).</S> | Reference Offset:  ['38'] | Reference Text:  <S sid="38" ssid="24">Lexically reiterated items include re­ peated synonymous noun phrases which may often be preceded by definite articles or demonstratives.</S> | Discourse Facet:  Implication_Citation | Annotator:  Rali | 


Citance Number:  50 | Reference Article:  P98-2143.xml | Citing Article:  W04-0711.xml | Citation Marker Offset:  ['19'] | Citation Marker:  1998 | Citation Offset:  ['19','20','21'] | Citation Text:  <S sid="19" ssid="19">(PMID9701290) Table 1A protein domain-referring phrase example ments and lexical features, in addressing problems in the biomedical domain (cf.</S><S sid="20" ssid="20">Mitkov et al.</S><S sid="21" ssid="21">(1998)).</S> | Reference Offset:  [] | Reference Text:   | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  51 | Reference Article:  P98-2143.xml | Citing Article:  W04-0714.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['18'] | Citation Text:  <S sid="18" ssid="18">Our method is an inexpensive, fast and reliable procedure for anaphora resolution, which relies on cheaper and more reliable NLP tools such as part- of-speech (POS) tagger and shallow parsers (Baldwin, 1997; FerrÃ¡ndez et al., 1998; Kennedy and Boguraev, 1996; Mitkov, 1998; Yeh and Chen, 2003).</S> | Reference Offset:  ['12'] | Reference Text:  <S sid="12" ssid="12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaph­ ora resolution.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  52 | Reference Article:  P98-2143.xml | Citing Article:  W04-2310.xml | Citation Marker Offset:  ['102'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['102'] | Citation Text:  <S sid="102" ssid="7">In most systems ((Mitkov, 1998),(Lappin and Leass, 1994)) the weights that are assigned for different anaphor-antecedent relationships are programmer dependent.</S> | Reference Offset:  ['67'] | Reference Text:  <S sid="67" ssid="53">For in­ stance, in the sentence "Insert the cassette into the VCRi making sure iti is turned on", the indicator "non-prepositional noun phrases" would penalise the correct antecedent.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  53 | Reference Article:  P98-2143.xml | Citing Article:  W04-2310.xml | Citation Marker Offset:  ['2186'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['11'] | Citation Text:  <S sid="11" ssid="11">Often domain-specific heuristics are used for anaphora resolution and fine tuned to perform well on a limited corpus, such as in (Mitkov, 1998).</S> | Reference Offset:  ['34'] | Reference Text:  <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  54 | Reference Article:  P98-2143.xml | Citing Article:  W06-2302.xml | Citation Marker Offset:  ['48'] | Citation Marker:  1998 | Citation Offset:  ['48'] | Citation Text:  <S sid="48" ssid="32">The approach is presented as a knowledge poor anaphora resolution algorithm (Mitkov R. [1995;1998]), which makes use of POS and NP chunking, it tries to individuate pleonastic â€œitâ€\x9d occurrences, and assigns animacy.</S> | Reference Offset:  ['6'] | Reference Text:  <S sid="6" ssid="6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  55 | Reference Article:  P98-2143.xml | Citing Article:  W09-2411.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['6'] | Citation Text:  <S sid="6" ssid="6">Some of the limitations of the traditional rule based approaches (Mitkov, 1998) could be overcome by machine learning techniques, which allow automating the acquisition of knowledge from annotated corpora.</S> | Reference Offset:  ['138'] | Reference Text:  <S sid="138" ssid="63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  56 | Reference Article:  P98-2143.xml | Citing Article:  W99-0104.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid="59" ssid="22">Other pronominal resolution approaches promote knowledge-poor methods (Mitkov, 1998), eitper by using an ordered set of general heuristics or by combining scores assigned to candidate antecedents.</S> | Reference Offset:  ['66'] | Reference Text:  <S sid="66" ssid="52">There might be cases where one or more of the antecedent indicators do not "point" to the correct antecedent.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  57 | Reference Article:  P98-2143.xml | Citing Article:  W99-0104.xml | Citation Marker Offset:  ['60'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['60'] | Citation Text:  <S sid="60" ssid="23">The CogNIAC algorithm {Baldwin, 1997) uses six heuristic rules to resalv.e coreference, whereas the algorithm presented in (Mitkov, 1998) is based on a limited set of preferences (e.g. definitiveness, l cal reiteration or immediate reference).</S> | Reference Offset:  ['133'] | Reference Text:  <S sid="133" ssid="58">tive evaluation of Breck Baldwin's CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin's Cog­ NIAC (Baldwin 1997) approach which features "high precision coreference with limited knowledge and linguistics resources".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  58 | Reference Article:  P98-2143.xml | Citing Article:  W99-0207.xml | Citation Marker Offset:  ['128'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['128','129'] | Citation Text:  <S sid="128" ssid="4">However, the difficulty of our task can be verified according to the baseline experiment results reported in (Mitkov, 1998).</S><S sid="129" ssid="5">Resolving pro\xad nouns in English technical manuals to the most re\xad cent candidate achieved a success rate of 62.5%, whereas in our experiments only 43.9% of the most recent candidates are resolved correctly as the an\xad tecedent (cf.</S> | Reference Offset:  ['107','115'] | Reference Text:  <S sid="107" ssid="32">As far as the typical failure cases are concerned, we anticipate the knowledge-poor approach to have difficulties with sentences which have a more com­ plex syntactic structure.</S><S sid="115" ssid="40">The evaluation indicated 83.6% success rate.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  59 | Reference Article:  P98-2143.xml | Citing Article:  W99-0207.xml | Citation Marker Offset:  ['131'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['131'] | Citation Text:  <S sid="131" ssid="7">Whereas knowledge-based systems like (Carbonell and Brown, 1988) and (Rich and LuperFoy, 1988) combining multiple resolution strategies are expenÂ\xad sive in the cost of human effort at development time and limited ability to scale to new domains, more reÂ\xad cent knowledge-poor approaches like (Kennedy and Boguraev, 1996) and (Mitkov, 1998) address the problem without sophisticated linguistic knowledge.</S> | Reference Offset:  ['8'] | Reference Text:  <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


