Citance Number:  1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid="141" ssid="10">Chinese According to Sproat et al.</S><S sid="142" ssid="11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ\xad lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ\xad proach.</S> | Reference Offset:  ['16','310'] | Reference Text:  <S sid="16" ssid="16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : & ; ? ' H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? ' (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : & I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l ' J a p a n e s e ' ' o c t o p u s ' ' h o w ' ' s a y ' (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&I ri4 wen2 zhangl yu2zen3 me0 shuol 'Japan' 'essay' 'fish' 'how' 'say' A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 
Citance Number:  40 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['150'] | Citation Marker:  1996 | Citation Offset:  ['149','150'] | Citation Text:  <S sid="149" ssid="2">utilizing local and sentential constraints, what Sproat et al.</S><S sid="150" ssid="3">( 1996) implemented was simply a token unigram scoring function.</S> | Reference Offset:  ['420','212'] | Reference Text:  <S sid="420" ssid="23">However, as we have noted, nothing inherent in the approach precludes incorporating higher-order constraints, provided they can be effectively modeled within a finite-state framework.</S><S sid="212" ssid="76">Figure 5 shows how this model is implemented as part of the dictionary WFST.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  41 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['5','6'] | Citation Text:  <S sid="5" ssid="5">In Japanese, around 95% word segmentation acÂ\xad curacy is reported by using a word-based lanÂ\xad guage model and the Viterbi-like dynamic programÂ\xad ming procedures (Nagata, 1994; Yamamoto, 1996; Takeuchi and Matsumoto, 1997; Haruno and MatÂ\xad sumoto, 1997).</S><S sid="6" ssid="6">About the same accuracy is reported in Chinese by statistical methods (Sproat et al., 1996).</S> | Reference Offset:  ['181','361'] | Reference Text:  <S sid="181" ssid="45">4.2 A Sample Segmentation Using Only Dictionary Words Figure 4 shows two possible paths from the lattice of possible analyses of the input sentence B X:¥ .:.S:P:l 'How do you say octopus in Japanese?' previously shown in Figure 1.</S><S sid="361" ssid="70">On a set of 11 sentence fragments-the A set-where they reported 100% recall and precision for name identification, we had 73% recall and 80% precision.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  42 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['8'] | Citation Text:  <S sid="8" ssid="8">There are two approaches to solve this problemto increase the coverage of the dictionary (Fung and Wu, 1994; Chang et al., 1995; Mori and Nagao, 1996) and to design a better model for unknown words (Nagata, 1996; Sproat et al., 1996).</S> | Reference Offset:  ['124'] | Reference Text:  <S sid="124" ssid="62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  43 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid="10" ssid="10">To improve word segmentaÂ\xad tion accuracy, (Nagata, 1996) used a single general purpose unknown word model, while (Sproat et al., 1996) used a set of specific word models such as for plurals, personal names, and transliterated foreign words.</S> | Reference Offset:  ['288'] | Reference Text:  <S sid="288" ssid="152">Virginia) and -sia are normally transliterated as fbSi!</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  44 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['178'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['178'] | Citation Text:  <S sid="178" ssid="108">Word segmentation accuracy is expressed in terms of recall and precision as is done in the previous research (Sproat et al., 1996).</S> | Reference Offset:  ['361'] | Reference Text:  <S sid="361" ssid="70">On a set of 11 sentence fragments-the A set-where they reported 100% recall and precision for name identification, we had 73% recall and 80% precision.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  45 | Reference Article:  J96-3004.xml | Citing Article:  W00-0803.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['29'] | Citation Text:  <S sid="29" ssid="29">Segmentation rutd morphological analysis related issues of both Chinese and Japanese are intensively addressed elsewhere (Sproat et al., 1996; MatsUIIt(ltO et al., 1997 and many others).</S> | Reference Offset:  ['24'] | Reference Text:  <S sid="24" ssid="24">2 Chinese ?l* han4zi4 'Chinese character'; this is the same word as Japanese kanji..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  46 | Reference Article:  J96-3004.xml | Citing Article:  W00-1207.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid="10" ssid="10">Purely statistical methods of word segmentation (e.g. de Marcken 1996, Sproat et al 1996, Tung and Lee 1994, Lin et al (1993), Chiang et al (1992), Lua, Huang et al, etc.) often fail to identify those words because of the sparse data problem, as the likelihood for those words to appear in the training texts is extremely low.</S> | Reference Offset:  ['422'] | Reference Text:  <S sid="422" ssid="25">Two sets of examples from Gan are given in (1) and (2) (:::::: Gan's Appendix B, exx.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  47 | Reference Article:  J96-3004.xml | Citing Article:  W01-0513.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Sproat, et al, 1996 | Citation Offset:  ['40','41'] | Citation Text:  <S sid="40" ssid="11">The principal work on segmentation has focused either on identifying words in phonetic streams (Saffran, et.</S><S sid="41" ssid="12">al, 1996; Brent, 1996; de Marcken, 1996) or on tokenizing Asian and Indian languages that do not normally include word delimiters in their orthography (Sproat, et al, 1996; Ponte and Croft 1996; Shimohata, 1997; Teahan, et al., 2000; and many others).</S> | Reference Offset:  ['245','148'] | Reference Text:  <S sid="245" ssid="109">There are two weaknesses in Chang et al.'s model, which we improve upon.</S><S sid="148" ssid="12">An input ABCD can be represented as an FSA as shown in Figure 2(b).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  48 | Reference Article:  J96-3004.xml | Citing Article:  W02-1117.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['13'] | Citation Text:  <S sid="13" ssid="13">For examplesthese words should be obtainedThe ambiguous string is .There are some methods to resolve this problemthe one is the method forward maximum matching, backward maximum matching and minimum matching are used to find out the possible word strings from the character string [Guo 1997; Sproat et al. 1996; Gu and Mao 1994; Li et al. 1991; Wang et al. 1991b; Wang et al. 1990].</S> | Reference Offset:  ['310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  49 | Reference Article:  J96-3004.xml | Citing Article:  W02-1808.xml | Citation Marker Offset:  ['5'] | Citation Marker:  1996 | Citation Offset:  ['5'] | Citation Text:  <S sid="5" ssid="5">Statistical approaches involve language mod els mostly finite-state ones trained on some large-scale corpora as showed in Fan and Tsai (1988) Chang et al (1991) Chiang et al (1992) Sproat et al (1996)</S> | Reference Offset:  ['124'] | Reference Text:  <S sid="124" ssid="62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  50 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['17'] | Citation Text:  <S sid="17" ssid="17">There are multiple studies (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) showing that the agreement between two (untrained) native speakers is about upper to lower</S> | Reference Offset:  ['349'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  51 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['180'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['180'] | Citation Text:  <S sid="180" ssid="4">Chinese word segmentation is a well-known problem that has been studied extensively (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) and it is known that human agreement is relatively low.</S> | Reference Offset:  ['349'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  52 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['187'] | Citation Marker:  1996 | Citation Offset:  ['186','187'] | Citation Text:  <S sid="186" ssid="10">Sproat et al.</S><S sid="187" ssid="11">(1996) employs stochastic finite state machines to find word boundaries.</S> | Reference Offset:  ['461'] | Reference Text:  <S sid="461" ssid="7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  53 | Reference Article:  J96-3004.xml | Citing Article:  W03-1728.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['3'] | Citation Text:  <S sid="3" ssid="3">This may sound simple enough but in reality identifying words in Chinese is a nontrivial problem that has drawn a large body of research in the Chinese language processing community (Fan and Tsai, 1988; Gan et al., 1996; Sproat et al., 1996; Wu, 2003; Xue, 2003).</S> | Reference Offset:  ['349'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  54 | Reference Article:  J96-3004.xml | Citing Article:  W04-3236.xml | Citation Marker Offset:  ['157'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['157'] | Citation Text:  <S sid="157" ssid="35">Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S> | Reference Offset:  ['137'] | Reference Text:  <S sid="137" ssid="1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  55 | Reference Article:  J96-3004.xml | Citing Article:  W05-0709.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['83'] | Citation Text:  <S sid="83" ssid="9">In addition to the model based upon a dictionary of stems and words, we also experimented with models based upon character n-grams, similar to those used for Chinese segmentation (Sproat et al., 1996).</S> | Reference Offset:  ['137'] | Reference Text:  <S sid="137" ssid="1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  56 | Reference Article:  J96-3004.xml | Citing Article:  W06-1630.xml | Citation Marker Offset:  ['118'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['118'] | Citation Text:  <S sid="118" ssid="13">The words were stemmed all possible ways using simple hand-developed affix listsfor example, given a Hindi word c1 c2 c3 , if both c3 and c2 c3 are in our suffix and ending list, then this single word generates three possible candidatesc1 , c1 c2 , and c1c2 c3 . In contrast, Chinese candidates were extracted using a list of 495 characters that are frequently used for foreign names (Sproat et al., 1996).</S> | Reference Offset:  ['429'] | Reference Text:  <S sid="429" ssid="32">An example of a fairly low-level relation is the affix relation, which holds between a stem morpheme and an affix morpheme, such as f1 -menD (PL).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  57 | Reference Article:  J96-3004.xml | Citing Article:  W10-3212.xml | Citation Marker Offset:  ['16'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['16'] | Citation Text:  <S sid="16" ssid="2">In such languages, words are segmented using more advanced techniques, which can be categorized into three methods(i) Dictionary/lexicon based approaches (ii) Linguistic knowledge based approaches (iii) Machine learning based approaches/statistical approaches (Haruechaiyasak et al., 2008) Longest matching (Poowarawan, 1986; Richard Sproat, 1996) and maximum matching (Sproat et al., 1996; Haizhou & Baosheng, 1998) are examples of lexicon based approaches.</S> | Reference Offset:  ['310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  58 | Reference Article:  J96-3004.xml | Citing Article:  W10-3708.xml | Citation Marker Offset:  ['16'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['16'] | Citation Text:  <S sid="16" ssid="16">Experiments have shown only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al., 1996).</S> | Reference Offset:  ['150'] | Reference Text:  <S sid="150" ssid="14">This WFST represents the segmentation of the text into the words AB and CD, word boundaries being marked by arcs mapping between f and part-of-speech labels.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  59 | Reference Article:  J96-3004.xml | Citing Article:  W11-0823.xml | Citation Marker Offset:  ['174'] | Citation Marker:  1996 | Citation Offset:  ['174'] | Citation Text:  <S sid="174" ssid="7">There are a number of popular dictionary-based solutions such as Cha Sen10 and Juman.11 Sproat et al (1996) proposed an alternative solution based on distributional statistics such as mutual information.</S> | Reference Offset:  ['320'] | Reference Text:  <S sid="320" ssid="29">from the subset of the United Informatics corpus not used in the training of the models.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  60 | Reference Article:  J96-3004.xml | Citing Article:  W12-1011.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['41'] | Citation Text:  <S sid="41" ssid="5">Indeed, even native speakers can agree on word boundaries in modern Chinese only about 76% of the time (Sproat et al., 1996).</S> | Reference Offset:  ['150'] | Reference Text:  <S sid="150" ssid="14">This WFST represents the segmentation of the text into the words AB and CD, word boundaries being marked by arcs mapping between f and part-of-speech labels.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  61 | Reference Article:  J96-3004.xml | Citing Article:  W12-1011.xml | Citation Marker Offset:  ['204'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['204'] | Citation Text:  <S sid="204" ssid="9">No comparable figure has been reported for classical Chinese word segmentation, but this rate compares favorably with past attempts for modern Chinese, e.g., an average of 76% inter- human agreement rate in (Sproat et al., 1996).</S> | Reference Offset:  ['326'] | Reference Text:  <S sid="326" ssid="35">The result of this is shown in Figure 7.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  62 | Reference Article:  J96-3004.xml | Citing Article:  W12-2303.xml | Citation Marker Offset:  ['12'] | Citation Marker:  1996 | Citation Offset:  ['11','12'] | Citation Text:  <S sid="11" ssid="11">An extension of this approach is the dynamic programming search of the most probable word combination on the word lattice, such as Ma (1996) and Sproat et al.</S><S sid="12" ssid="12">(1996), which utilize information such as word frequency statistics in a corpus to build the model and are less efficient but more accurate.</S> | Reference Offset:  ['429','320'] | Reference Text:  <S sid="429" ssid="32">An example of a fairly low-level relation is the affix relation, which holds between a stem morpheme and an affix morpheme, such as f1 -menD (PL).</S><S sid="320" ssid="29">from the subset of the United Informatics corpus not used in the training of the models.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  63 | Reference Article:  J96-3004.xml | Citing Article:  W12-2303.xml | Citation Marker Offset:  ['157'] | Citation Marker:  1996 | Citation Offset:  ['155','156','157'] | Citation Text:  <S sid="155" ssid="30">There are many other OOV recognition methods proposed in literature before the rise of machine learning in the field.</S><S sid="156" ssid="31">For example, the Sproat et al.</S><S sid="157" ssid="32">(1996) system can successfully recognize OOVs of strong patterns, such as Chinese personal names, transliterations, using finite-state techniques.</S> | Reference Offset:  ['310','310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S><S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  64 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['26'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['26'] | Citation Text:  <S sid="26" ssid="26">One of the major problems in unsupervised word segmentation is the treatment of unseen word [Sproat et al., 1996] wrote lexical rules for each productive morphological process, such as plur noun formation, Chinese personal names, and transliterations of foreign words.</S> | Reference Offset:  ['50'] | Reference Text:  <S sid="50" ssid="11">Given that part-of-speech labels are properties of words rather than morphemes, it follows that one cannot do part-of-speech assignment without having access to word-boundary information.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  65 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['69'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['69'] | Citation Text:  <S sid="69" ssid="5">We used a simple greedy algorithm described in [Sproat et al., 1996].</S> | Reference Offset:  ['163'] | Reference Text:  <S sid="163" ssid="27">(a) IDictionary D I D:d/0.000 B:b/0.000 B:b/0.000 ( b ) ( c ) ( d ) I B e s t P a t h ( I d ( I ) o D * ) I cps:nd4.!l(l() Figure 2 An abstract example illustrating the segmentation algorithm.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  66 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['73'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['73'] | Citation Text:  <S sid="73" ssid="9">[Sproat et al., 1996] also proposed another method to estimate a set of initial word frequencies without segmenting the corpus.</S> | Reference Offset:  ['310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  67 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['86'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['86'] | Citation Text:  <S sid="86" ssid="22">The problem of the longest match string frequency method is that if a word W1 is a substring of other word w2 and if wl always appears as a substring of w2 in the training text, just like m 1Although (Sproat et al., 1996] calls it "maximum matching", we call this method "longest match" according to a review on Chinese word segmentation [Wu and Tseng, 1993) and the literal translation of the Japanese name of the method Hi!.</S> | Reference Offset:  ['349'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  68 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['121'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['121'] | Citation Text:  <S sid="121" ssid="15">Word Segmentation accuracy is expressed in terms of recall and precision as is done for bracketing of partial parses [Nagata, 1994, Sproat et al., 1996).</S> | Reference Offset:  ['361'] | Reference Text:  <S sid="361" ssid="70">On a set of 11 sentence fragments-the A set-where they reported 100% recall and precision for name identification, we had 73% recall and 80% precision.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  69 | Reference Article:  J96-3004.xml | Citing Article:  W97-0316.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['10','11'] | Citation Text:  <S sid="10" ssid="10">Automatic methods for correctly isolating words in a sentence -- a process called word segmentation -- is therefore an important and necessary first step to be taken before other analysis can begin.</S><S sid="11" ssid="11">Many researchers have proposed practical methods to resolve this problem such as (Nie et al., 1995, Wu and Tsang, 1995, Jin & Chen, 1996, Ponte & Croft, 1996, Sproat et al., 1996, Sun et al., 1997).</S> | Reference Offset:  ['310','310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S><S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


