Citance Number: 1 | Reference Article:   P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['36','37'] | Citation Marker:  Dang et al, 1998 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset:  ['39', '18', '173', '67'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S><S sid ="67" ssid = "21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as &quot;separate by V-ing,&quot; where &quot;V&quot; is the basic meaning of that verb (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 22 | Reference Article:   P98-1046.xml | Citing Article:  W02-1108.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "18">Manual classification of verbs to semanticclasses yields accurate results but is time con suming (Levin, 1993; Dang et al., 1998).</S> | Reference Offset:  ['20', '157', '9', '18'] | Reference Text:  <S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accord­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 23 | Reference Article:   P98-1046.xml | Citing Article:  W02-1108.xml | Citation Marker Offset:  ['49'] | Citation Marker:  1998 | Citation Offset:  ['48','49'] | Citation Text:  <S sid ="48" ssid = "8">Dang et al.</S><S sid ="49" ssid = "9">(1998), for example, have refined the current classification by creating intersective classes for those verbs which share membership of more than one Levin class.</S> | Reference Offset:  ['20', '157', '40', '50'] | Reference Text:  <S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accord­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="40" ssid = "21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman­ tic components.</S><S sid ="50" ssid = "4">This filter al­ lowed us to reject the potential intersective class that would have resulted from combining the re­ move verbs with the scribble verbs, for example.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 24 | Reference Article:   P98-1046.xml | Citing Article:  W03-0910.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Dang et al 1998 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "4">This reorganization which was facilitated by the use of inter- sective Levin classes (Dang et al 1998) refined the classes to account for semantic and syntactic differences within a class</S> | Reference Offset:  ['15', '74', '109', '4'] | Reference Text:  <S sid ="15" ssid = "15">We base these regular extensions on a fine-grained variation on Levin classes, inter­ sective Levin classes, as a source of semantic components associated with specific adjuncts.</S><S sid ="74" ssid = "28">Depending on the par­ ticular syntactic frame in which they appear, members of this intersective class (pull, push, shove, tug, kick, draw, yank) * can be used to exemplify any one (or more) of the the compo­ nent Levin classes.</S><S sid ="109" ssid = "23">Whereas high level semantic relations (syn­ onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S><S sid ="4" ssid = "4">We present a refinement of Levin classes, intersec­ tive sets, which are a more fine-grained clas­ sification and have more coherent sets of syn­ tactic frames and associated semantic compo­ nents.</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation'] | Annotator:  CIST |


Citance Number: 25 | Reference Article:   P98-1046.xml | Citing Article:  W04-2606.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Lexical-semantic classes which aim to capture the close relationship between the syntax and semantics of verbs have attracted considerable interest in both linguistics and computational linguistics (e.g.</S><S sid ="8" ssid = "8">(Pinker, 1989; Jackendoff, 1990; Levin, 1993; Dorr, 1997; Dang et al., 1998; Merlo and Stevenson, 2001)).</S> | Reference Offset:  ['20', '26', '39', '173'] | Reference Text:  <S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S><S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 26 | Reference Article:   P98-1046.xml | Citing Article:  W06-2611.xml | Citation Marker Offset:  ['21'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['21'] | Citation Text:  <S sid ="21" ssid = "21">A very good candidate seems to be the Intersective Levin classes (Dang et al., 1998) that can be found as well in other predicate resources like PropBank and VerbNet (Kipper et al., 2000).</S> | Reference Offset:  ['18', '20', '98', '9'] | Reference Text:  <S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="98" ssid = "12">When examining in detail the intersec­ tive classes just described, which emphasize not only the individual classes, but also their rela­ tion to other classes, we see a rich semantic lat­ tice much like WordNet.</S><S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 27 | Reference Article:   P98-1046.xml | Citing Article:  W06-2611.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['83'] | Citation Text:  <S sid ="83" ssid = "19">This constraint of having the same semantic roles is further ensured inside the VerbNet lexi con that is constructed based on a more refined version of the Levin classification called Inter- sective Levin classes (Dang et al., 1998).</S> | Reference Offset:  ['4', '15', '20', '26'] | Reference Text:  <S sid ="4" ssid = "4">We present a refinement of Levin classes, intersec­ tive sets, which are a more fine-grained clas­ sification and have more coherent sets of syn­ tactic frames and associated semantic compo­ nents.</S><S sid ="15" ssid = "15">We base these regular extensions on a fine-grained variation on Levin classes, inter­ sective Levin classes, as a source of semantic components associated with specific adjuncts.</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 28 | Reference Article:   P98-1046.xml | Citing Article:  W11-0910.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid ="59" ssid = "32">Complicating the issue is the phenomenon of regular sense extensions (Dang et al., 1998), where what once may have been coercion has become entrenched and is now seen as a different sense of the verb.</S> | Reference Offset:  ['1', '132', '133', '2'] | Reference Text:  <S sid ="1" ssid = "1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S><S sid ="132" ssid = "46">However, there are some interesting differences in which sense extensions are allowed.</S><S sid ="133" ssid = "47">4.1 Similar sense extensions.</S><S sid ="2" ssid = "2">We see verb classes as the key to making gen­ eralizations about regular extensions of mean­ ing.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 29 | Reference Article:   P98-1046.xml | Citing Article:  W99-0503.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Dang et al , 1998 | Citation Offset:  ['6','7'] | Citation Text:  <S sid ="6" ssid = "2">In explormg these quest1ons, we focus on verb clasÂ­ Sificatwn for several reasons Verbs are very ImporÂ­ tant sources of knowledge m many language eng1neermg tasks, and the relat10nsh1ps among verbs apÂ­ pear to play a maJor role m the orgamzatwn and use of this knowledge h.nowledge about verb classe 1s cruc1al for lexical acqu1srt10n m support of language generatiOn and machme translatiOn (Dorr, 1997) and document clC!bsrficatwn (Klavans and Kan, 1998), :yet manual class1ficatwn of large numbers of verb&apos;S 1s a d1fficult and resource mtens1ve task (Levm, 1993 MJ!ler et a!</S><S sid ="7" ssid = "3">, 1990, Dang et al , 1998)</S> | Reference Offset:  ['9', '173', '20', '43'] | Reference Text:  <S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="43" ssid = "24">For in­ stance, carry verbs are described as not taking the conative, *The mother carried at the baby, and yet many of the verbs in the carry class {push, pull, tug, shove, kick) are also listed in the push/pull class, which does take the cona­ tive.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 30 | Reference Article:   P98-1046.xml | Citing Article:  W99-0632.xml | Citation Marker Offset:  ['46'] | Citation Marker:  1998 | Citation Offset:  ['45','46'] | Citation Text:  <S sid ="45" ssid = "16">Palmer (1999) and Dang et a!.</S><S sid ="46" ssid = "17">(1998) argue that the use of syntactic frames and verb classes can simÂ­ plify the definition of different verb senses.</S> | Reference Offset:  ['26', '27', '29', '67'] | Reference Text:  <S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S><S sid ="27" ssid = "8">The distribution of syntactic frames in which a verb can appear determines its class member­ ship.</S><S sid ="29" ssid = "10">Levin classes are supposed to provide specific sets of syntactic frames that are associated with the individual classes.</S><S sid ="67" ssid = "21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as &quot;separate by V-ing,&quot; where &quot;V&quot; is the basic meaning of that verb (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 31 | Reference Article:   P98-1046.xml | Citing Article:  W99-0632.xml | Citation Marker Offset:  ['203'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['203'] | Citation Text:  <S sid ="203" ssid = "23">We also plan to experiment with different classification schemes for verb semantics such as WordNet (Miller et al., 1990) and intersective Levin classes (Dang et al., 1998).</S> | Reference Offset:  ['20', '157', '3', '73'] | Reference Text:  <S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accord­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="3" ssid = "3">Current approaches to English classifica­ tion, Levin classes and WordNet, have limita­ tions in their applicability that impede their utility as general classification schemes.</S><S sid ="73" ssid = "27">Figure 2: Intersective class formed from Levin carry, push/pull and split verbs- verbs in() are not listed by Levin in all the intersecting classes but participate in all the alternations The intersection between the push/pull verbs of exerting force, the carry verbs and the split verbs illustrates how the force semantic compo­ nent of a verb can also be used to extend its meaning so that one can infer a causation of accompanied motion.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |
