Citance Number: 1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ­ proach.</S> | Reference Offset: [ '91','101' ] | Reference Text: <S sid="91"> Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> <S sid="101"> (See Sproat and Shih 1995.)</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 41 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['5','6'] | Citation Text:  <S sid ="5" ssid = "5">In Japanese, around 95% word segmentation acÂ­ curacy is reported by using a word-based lanÂ­ guage model and the Viterbi-like dynamic programÂ­ ming procedures (Nagata, 1994; Yamamoto, 1996; Takeuchi and Matsumoto, 1997; Haruno and MatÂ­ sumoto, 1997).</S><S sid ="6" ssid = "6">About the same accuracy is reported in Chinese by statistical methods (Sproat et al., 1996).</S> | Reference Offset: [ '23','419' ] | Reference Text: <S sid="23"> All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S> <S sid="419"> The method reported in this paper makes use solely of unigram probabilities, and is therefore a zeroeth-order model: the cost of a particular segmentation is estimated as the sum of the costs of the individual words in the segmentation.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 42 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">There are two approaches to solve this problem: to increase the coverage of the dictionary (Fung and Wu, 1994; Chang et al., 1995; Mori and Nagao, 1996) and to design a better model for unknown words (Nagata, 1996; Sproat et al., 1996).</S> | Reference Offset: [ '349' ] | Reference Text: <S sid="349"> Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 43 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">To improve word segmentaÂ­ tion accuracy, (Nagata, 1996) used a single general purpose unknown word model, while (Sproat et al., 1996) used a set of specific word models such as for plurals, personal names, and transliterated foreign words.</S> | Reference Offset: [ '226','280' ] | Reference Text: <S sid="226"> 0 Figure 5 An example of affixation: the plural affix.</S> <S sid="280"> 4.5 Transliterations of Foreign Words.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 44 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['178'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['178'] | Citation Text:  <S sid ="178" ssid = "108">Word segmentation accuracy is expressed in terms of recall and precision as is done in the previous research (Sproat et al., 1996).</S> | Reference Offset: [ '128','142' ] | Reference Text: <S sid="128"> Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S> <S sid="142"> We can 5 Recall that precision is defined to be the number of correct hits divided by the total number of items.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 45 | Reference Article:  J96-3004.xml | Citing Article:  W00-0803.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['29'] | Citation Text:  <S sid ="29" ssid = "29">Segmentation rutd morphological analysis related issues of both Chinese and Japanese are intensively addressed elsewhere (Sproat et al., 1996; MatsUIIt(ltO et al., 1997 and many others).</S> | Reference Offset: [ '311','313' ] | Reference Text: <S sid="311"> Two measures that can be used to compare judgments are: 1.</S> <S sid="313"> For each pair of judges consider one judge as the standard,.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 46 | Reference Article:  J96-3004.xml | Citing Article:  W00-1207.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Purely statistical methods of word segmentation (e.g. de Marcken 1996, Sproat et al 1996, Tung and Lee 1994, Lin et al (1993), Chiang et al (1992), Lua, Huang et al, etc.) often fail to identify those words because of the sparse data problem, as the likelihood for those words to appear in the training texts is extremely low.</S> | Reference Offset: [ '124','311' ] | Reference Text: <S sid="124"> Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S> <S sid="311"> Two measures that can be used to compare judgments are: 1.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 47 | Reference Article:  J96-3004.xml | Citing Article:  W01-0513.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Sproat, et al, 1996 | Citation Offset:  ['40','41'] | Citation Text:  <S sid ="40" ssid = "11">The principal work on segmentation has focused either on identifying words in phonetic streams (Saffran, et.</S><S sid ="41" ssid = "12">al, 1996; Brent, 1996; de Marcken, 1996) or on tokenizing Asian and Indian languages that do not normally include word delimiters in their orthography (Sproat, et al, 1996; Ponte and Croft 1996; Shimohata, 1997; Teahan, et al., 2000; and many others).</S> | Reference Offset: [ '25','42' ] | Reference Text: <S sid="25"> 3 Throughout this paper we shall give Chinese examples in traditional orthography, followed.</S> <S sid="42"> In various dialects of Mandarin certain phonetic rules apply at the word.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 48 | Reference Article:  J96-3004.xml | Citing Article:  W02-1117.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">For examples: these words should be obtained: The ambiguous string is .There are some methods to resolve this problem: the one is the method forward maximum matching, backward maximum matching and minimum matching are used to find out the possible word strings from the character string [Guo 1997; Sproat et al. 1996; Gu and Mao 1994; Li et al. 1991; Wang et al. 1991b; Wang et al. 1990].</S> | Reference Offset: [ '111','379' ] | Reference Text: <S sid="111"> (1991}, Gu and Mao (1994), and Nie, Jin, and Hannan (1994).</S> <S sid="379"> Note that Wang, Li, and Chang's.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 49 | Reference Article:  J96-3004.xml | Citing Article:  W02-1808.xml | Citation Marker Offset:  ['5'] | Citation Marker:  1996 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">Statistical approaches involve language mod els mostly finite-state ones trained on some large-scale corpora as showed in Fan and Tsai (1988) Chang et al (1991) Chiang et al (1992) Sproat et al (1996)</S> | Reference Offset: [ '67','120' ] | Reference Text: <S sid="67"> The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S> <S sid="120"> More complex approaches such as the relaxation technique have been applied to this problem Fan and Tsai (1988}.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 50 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">There are multiple studies (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) showing that the agreement between two (untrained) native speakers is about upper to lower</S> | Reference Offset: [ '349' ] | Reference Text: <S sid="349"> Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 51 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['180'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['180'] | Citation Text:  <S sid ="180" ssid = "4">Chinese word segmentation is a well-known problem that has been studied extensively (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) and it is known that human agreement is relatively low.</S> | Reference Offset: [ '349' ] | Reference Text: <S sid="349"> Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 52 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['187'] | Citation Marker:  1996 | Citation Offset:  ['186','187'] | Citation Text:  <S sid ="186" ssid = "10">Sproat et al.</S><S sid ="187" ssid = "11">(1996) employs stochastic finite state machines to find word boundaries.</S> | Reference Offset: [ '137' ] | Reference Text: <S sid="137"> Chinese word segmentation can be viewed as a stochastic transduction problem.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 53 | Reference Article:  J96-3004.xml | Citing Article:  W03-1728.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['3'] | Citation Text:  <S sid ="3" ssid = "3">This may sound simple enough but in reality identifying words in Chinese is a nontrivial problem that has drawn a large body of research in the Chinese language processing community (Fan and Tsai, 1988; Gan et al., 1996; Sproat et al., 1996; Wu, 2003; Xue, 2003).</S> | Reference Offset: [ '102','120' ] | Reference Text: <S sid="102"> However, the characterization given in the main body of the text is correct sufficiently often to be useful.</S> <S sid="120"> More complex approaches such as the relaxation technique have been applied to this problem Fan and Tsai (1988}.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 54 | Reference Article:  J96-3004.xml | Citing Article:  W04-3236.xml | Citation Marker Offset:  ['157'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['157'] | Citation Text:  <S sid ="157" ssid = "35">Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S> | Reference Offset: [ '53','66' ] | Reference Text: <S sid="53"> There are thus some very good reasons why segmentation into words is an important task.</S> <S sid="66"> The segmenter handles the grouping of hanzi into words and outputs word pronunciations, with default pronunciations for hanzi it cannot group; we focus here primarily on the system's ability to segment text appropriately (rather than on its pronunciation abilities).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 55 | Reference Article:  J96-3004.xml | Citing Article:  W05-0709.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['83'] | Citation Text:  <S sid ="83" ssid = "9">In addition to the model based upon a dictionary of stems and words, we also experimented with models based upon character n-grams, similar to those used for Chinese segmentation (Sproat et al., 1996).</S> | Reference Offset: [ '156','464' ] | Reference Text: <S sid="156"> As we have seen, the lexicon of basic words and stems is represented as a WFST; most arcs in this WFST represent mappings between hanzi and pronunciations, and are costless.</S> <S sid="464"> The particular classifier used depends upon the noun.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 56 | Reference Article:  J96-3004.xml | Citing Article:  W06-1630.xml | Citation Marker Offset:  ['118'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['118'] | Citation Text:  <S sid ="118" ssid = "13">The words were stemmed all possible ways using simple hand-developed affix lists: for example, given a Hindi word c1 c2 c3 , if both c3 and c2 c3 are in our suffix and ending list, then this single word generates three possible candidates: c1 , c1 c2 , and c1c2 c3 . In contrast, Chinese candidates were extracted using a list of 495 characters that are frequently used for foreign names (Sproat et al., 1996).</S> | Reference Offset: [ '429' ] | Reference Text: <S sid="429"> An example of a fairly low-level relation is the affix relation, which holds between a stem morpheme and an affix morpheme, such as f1 -menD (PL).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 57 | Reference Article:  J96-3004.xml | Citing Article:  W10-3212.xml | Citation Marker Offset:  ['16'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['16'] | Citation Text:  <S sid ="16" ssid = "2">In such languages, words are segmented using more advanced techniques, which can be categorized into three methods: (i) Dictionary/lexicon based approaches (ii) Linguistic knowledge based approaches (iii) Machine learning based approaches/statistical approaches (Haruechaiyasak et al., 2008) Longest matching (Poowarawan, 1986; Richard Sproat, 1996) and maximum matching (Sproat et al., 1996; Haizhou &amp; Baosheng, 1998) are examples of lexicon based approaches.</S> | Reference Offset: [ '110','305' ] | Reference Text: <S sid="110"> Papers that use this method or minor variants thereof include Liang (1986), Li et al.</S> <S sid="305"> A greedy algorithm (or maximum-matching algorithm), GR: proceed through the sentence, taking the longest match with a dictionary entry at each point.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 58 | Reference Article:  J96-3004.xml | Citing Article:  W10-3708.xml | Citation Marker Offset:  ['16'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['16'] | Citation Text:  <S sid ="16" ssid = "16">Experiments have shown only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al., 1996).</S> | Reference Offset: [ '311','314' ] | Reference Text: <S sid="311"> Two measures that can be used to compare judgments are: 1.</S> <S sid="314"> computing the precision of the other's judgments relative to this standard.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 59 | Reference Article:  J96-3004.xml | Citing Article:  W11-0823.xml | Citation Marker Offset:  ['174'] | Citation Marker:  1996 | Citation Offset:  ['174'] | Citation Text:  <S sid ="174" ssid = "7">There are a number of popular dictionary-based solutions such as Cha Sen10 and Juman.11 Sproat et al (1996) proposed an alternative solution based on distributional statistics such as mutual information.</S> | Reference Offset: [ '91','93' ] | Reference Text: <S sid="91"> Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> <S sid="93"> Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 60 | Reference Article:  J96-3004.xml | Citing Article:  W12-1011.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "5">Indeed, even native speakers can agree on word boundaries in modern Chinese only about 760f the time (Sproat et al., 1996).</S> | Reference Offset: [ '130' ] | Reference Text: <S sid="130"> Indeed, as we shall show in Section 5, even human judges differ when presented with the task of segmenting a text into words, so a definition of the criteria used to determine that a given segmentation is correct is crucial before one can interpret such measures.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 61 | Reference Article:  J96-3004.xml | Citing Article:  W12-1011.xml | Citation Marker Offset:  ['204'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['204'] | Citation Text:  <S sid ="204" ssid = "9">No comparable figure has been reported for classical Chinese word segmentation, but this rate compares favorably with past attempts for modern Chinese, e.g., an average of 76 0nter- human agreement rate in (Sproat et al., 1996).</S> | Reference Offset: [ '49','304' ] | Reference Text: <S sid="49"> It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S> <S sid="304"> Various segmentation approaches were then compared with human performance: 1.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 62 | Reference Article:  J96-3004.xml | Citing Article:  W12-2303.xml | Citation Marker Offset:  ['12'] | Citation Marker:  1996 | Citation Offset:  ['11','12'] | Citation Text:  <S sid ="11" ssid = "11">An extension of this approach is the dynamic programming search of the most probable word combination on the word lattice, such as Ma (1996) and Sproat et al.</S><S sid ="12" ssid = "12">(1996), which utilize information such as word frequency statistics in a corpus to build the model and are less efficient but more accurate.</S> | Reference Offset: [ '34','197' ] | Reference Text: <S sid="34"> For example, suppose one is building a ITS system for Mandarin Chinese.</S> <S sid="197"> Figure 4 Input lattice (top) and two segmentations (bottom) of the sentence 'How do you say octopus in Japanese?'.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 63 | Reference Article:  J96-3004.xml | Citing Article:  W12-2303.xml | Citation Marker Offset:  ['157'] | Citation Marker:  1996 | Citation Offset:  ['155','157'] | Citation Text:  <S sid ="155" ssid = "30">There are many other OOV recognition methods proposed in literature before the rise of machine learning in the field.</S><S sid ="156" ssid = "31">For example, the Sproat et al.</S><S sid ="157" ssid = "32">(1996) system can successfully recognize OOVs of strong patterns, such as Chinese personal names, transliterations, using finite-state techniques.</S> | Reference Offset: [ '60','195' ] | Reference Text: <S sid="60"> Personal names such as 00, 3R; zhoulenl-lai2 'Zhou Enlai.'</S> <S sid="195"> !!:\ :yu2 e:_nc [::!!:zen3 l!f :moO t:_adv il!:shuot ,:_vb i i i 1  10.03 13...</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 64 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['26'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['26'] | Citation Text:  <S sid ="26" ssid = "26">One of the major problems in unsupervised word segmentation is the treatment of unseen word [Sproat et al., 1996] wrote lexical rules for each productive morphological process, such as plur noun formation, Chinese personal names, and transliterations of foreign words.</S> | Reference Offset: [ '188' ] | Reference Text: <S sid="188"> One class comprises words derived by productive morphologi cal processes, such as plural noun formation using the suffix ir, menD.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 65 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['69'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['69'] | Citation Text:  <S sid ="69" ssid = "5">We used a simple greedy algorithm described in [Sproat et al., 1996].</S> | Reference Offset: [ '305','337' ] | Reference Text: <S sid="305"> A greedy algorithm (or maximum-matching algorithm), GR: proceed through the sentence, taking the longest match with a dictionary entry at each point.</S> <S sid="337"> In this way, the method reported on here will necessarily be similar to a greedy method, though of course not identical.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 66 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['73'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['73'] | Citation Text:  <S sid ="73" ssid = "9">[Sproat et al., 1996] also proposed another method to estimate a set of initial word frequencies without segmenting the corpus.</S> | Reference Offset: [ '60','195' ] | Reference Text: <S sid="60"> Personal names such as 00, 3R; zhoulenl-lai2 'Zhou Enlai.'</S> <S sid="195"> !!:\ :yu2 e:_nc [::!!:zen3 l!f :moO t:_adv il!:shuot ,:_vb i i i 1  10.03 13...</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 67 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['86'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['86'] | Citation Text:  <S sid ="86" ssid = "22">The problem of the longest match string frequency method is that if a word W1 is a substring of other word w2 and if wl always appears as a substring of w2 in the training text, just like m 1Although (Sproat et al., 1996] calls it &quot;maximum matching&quot;, we call this method &quot;longest match&quot; according to a review on Chinese word segmentation [Wu and Tseng, 1993) and the literal translation of the Japanese name of the method Hi!:.</S> | Reference Offset: [ '88','349' ] | Reference Text: <S sid="88"> There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S> <S sid="349"> Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 68 | Reference Article:  J96-3004.xml | Citing Article:  W97-0120.xml | Citation Marker Offset:  ['121'] | Citation Marker:  Sproat et al., 1996 | Citation Offset: ['121'] | Citation Text:  <S sid ="121" ssid = "15">Word Segmentation accuracy is expressed in terms of recall and precision as is done for bracketing of partial parses [Nagata, 1994, Sproat et al., 1996).</S> | Reference Offset: [ '23','292' ] | Reference Text: <S sid="23"> All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S> <S sid="292"> In this section we present a partial evaluation of the current system, in three parts.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 69 | Reference Article:  J96-3004.xml | Citing Article:  W97-0316.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['10','11'] | Citation Text:  <S sid ="10" ssid = "10">Automatic methods for correctly isolating words in a sentence -- a process called word segmentation -- is therefore an important and necessary first step to be taken before other analysis can begin.</S><S sid ="11" ssid = "11">Many researchers have proposed practical methods to resolve this problem such as (Nie et al., 1995, Wu and Tsang, 1995, Jin &amp; Chen, 1996, Ponte &amp; Croft, 1996, Sproat et al., 1996, Sun et al., 1997).</S> | Reference Offset: [ '116','349' ] | Reference Text: <S sid="116"> Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S> <S sid="349"> Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet: NA | Annotator: System 6 
