Citance Number: 1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: [ '74','75' ] | Reference Text: <S sid="74"> Select from the noun phrases identified only.</S> <S sid="75"> those which agree in gender and numberS with the pronominal anaphor and group them as a set of potential candidates</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 35 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['8'] | Citation Marker:  1998b | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">Our paper discusses a particular configuration of this new evaluation environment incorporating three approaches sharing a common â€knowledge-poor philosophyâ€: Kennedy and Boguraevâ€™s (1996) parser-free algorithm, Baldwinâ€™s (1997) CogNiac and Mitkovâ€™s (1998b) knowledge-poor approach.</S> | Reference Offset: [ '134','136' ] | Reference Text: <S sid="134"> The reason is that both our approach and Breck Baldwin's approach share common principles (both are knowledge-poor and use a POS tagger to provide the input) and therefore a comparison would be appropriate.</S> <S sid="136"> CogNIAC successfully resolved the pronouns in 750f the cases.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 36 | Reference Article:  P98-2143.xml | Citing Article:  P03-1023.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">Mitkovâ€™s knowledge-poor pronoun resolution method (Mitkov, 1998), for example, uses the scores from a set of antecedent indicators to rank the candidates.</S> | Reference Offset: [ '104','154' ] | Reference Text: <S sid="104"> From this example we can also see that our knowledge-poor approach successfully tackles cases in which the anaphor and the antecedent have not only different syntactic functions but also different semantic roles.</S> <S sid="154"> We have described a robust, knowledge-poor ap proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 37 | Reference Article:  P98-2143.xml | Citing Article:  P04-1017.xml | Citation Marker Offset:  ['191'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['191'] | Citation Text:  <S sid ="191" ssid = "5">The coreferential chain length of a candidate, or its variants such as occurrence frequency and TFIDF, has been used as a salience factor in some learning-based reference resolution systems (Iida et al., 2003; Mitkov, 1998; Paul et al., 1999; Strube and Muller, 2003).</S> | Reference Offset: [ '0','42' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="42"> Example: Insert the cassettei into the VCR making sure iti is suitable for the length of recording.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 38 | Reference Article:  P98-2143.xml | Citing Article:  P04-1018.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">Early work of anaphora resolution focuses on find ing antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998)</S> | Reference Offset: [ '74','75' ] | Reference Text: <S sid="74"> Select from the noun phrases identified only.</S> <S sid="75"> those which agree in gender and numberS with the pronominal anaphor and group them as a set of potential candidates</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 39 | Reference Article:  P98-2143.xml | Citing Article:  P05-1021.xml | Citation Marker Offset:  ['17'] | Citation Marker:  1998 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">Indeed, existing learning-based approaches to anaphor resolution have performed reasonably well using limited and shallow knowledge (e.g., Mitkov (1998), Soon et al.</S> | Reference Offset: [ '0','85' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="85"> For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not real istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 40 | Reference Article:  P98-2143.xml | Citing Article:  P05-1021.xml | Citation Marker Offset:  ['97'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['97'] | Citation Text:  <S sid ="97" ssid = "23">ParalStuctmarks whether a candidate and an anaphor have sim StatSemN (C, ana) = c max StatSem(ci , ana) (ana) ilar surrounding words, which is also a salience factor for the candidate evaluation (Mitkov, 1998).</S> | Reference Offset: [ '0','121' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="121"> A case where the system failed was when the anaphor and the antecedent were in the same sen tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 41 | Reference Article:  P98-2143.xml | Citing Article:  P06-1006.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">These features are calculated by mining the parse trees, and then could be used for resolution by using manually designed rules (Lappin and Leass, 1994; Kennedy and Boguraev, 1996; Mitkov, 1998), or using machine-learning methods (Aone and Bennett, 1995; Yang et al., 2004; Luo and Zitouni, 2005).</S> | Reference Offset: [ '11','90' ] | Reference Text: <S sid="11"> Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="90"> In fact, our evaluation shows that the re sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 42 | Reference Article:  P98-2143.xml | Citing Article:  P07-1068.xml | Citation Marker Offset:  ['5'] | Citation Marker:  1998 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">In knowledge-lean approaches, coreference resolvers employ only morpho-syntactic cues as knowledge sources in the resolution process (e.g., Mitkov (1998), Tetreault (2001)).</S> | Reference Offset: [ '0','1' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="1"> Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 43 | Reference Article:  P98-2143.xml | Citing Article:  P10-2049.xml | Citation Marker Offset: ['78'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['78'] | Citation Text:  <S sid ="78" ssid = "4">The algorithm with the next-to-highest results in (Char- niak and Elsner, 2009) is MARS (Mitkov, 1998) from the GuiTAR (Poesio and Kabadjov, 2004) toolkit.</S> | Reference Offset: [ '0','137' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="137"> This result is comparable with the results described in (Baldwin 1997).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 44 | Reference Article:  P98-2143.xml | Citing Article:  P13-3012.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "2">While not developed within a graph-based framework, factor-based approaches for pronoun resolution (Mitkov, 1998) can be regarded as greedy clustering in a multigraph, where edges representing factors for pronoun resolution have negative or positive weight.</S> | Reference Offset: [ '0','29' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="29"> We regard a noun phrase as definite if the head noun is modified by a definite article, or by demonstrative or posses sive pronouns.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 45 | Reference Article:  P98-2143.xml | Citing Article:  S10-1019.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['5','6','7'] | Citation Text:  <S sid ="4" ssid = "4">Coreference resolution is a field in which major progress has been made in the last decade.</S><S sid ="5" ssid = "5">After a concentration on rule-based systems (cf.</S><S sid ="6" ssid = "6">e.g.</S><S sid ="7" ssid = "7">(Mitkov, 1998; Poesio et al., 2002; Markert and Nissim, 2005)), machine learning methods were embraced (cf.</S> | Reference Offset: [ '0','90' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="90"> In fact, our evaluation shows that the re sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 46 | Reference Article:  P98-2143.xml | Citing Article:  W01-0704.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['82','83'] | Citation Text:  <S sid ="82" ssid = "6">They use limited knowledge (lexical, morphological and syntacticinformation sources) for the detection of the cor rect antecedent.</S><S sid ="83" ssid = "7">These proposals have report high success rates for English (89.7%) (Mitkov, 1998) | Reference Offset: [ '6','90' ] | Reference Text: <S sid="6"> Evaluation reports a success rate of 89.7% which is better than the suc cess rates of the approaches selected for comparison and tested on the same data.</S> <S sid="90"> In fact, our evaluation shows that the re sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 47 | Reference Article:  P98-2143.xml | Citing Article:  W01-0717.xml | Citation Marker Offset:  ['145'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['145'] | Citation Text:  <S sid ="145" ssid = "1">There are many recent approaches to this prob lem, e. g. syntax-based approaches (Lappin and Leass, 1994), cooccurrence-based approaches(Dagan and Itai, 1990), machine-learning approaches (Connolly et al., 1994; Aone and Ben nett, 1996; Soon et al., 1999), uncertainty reasoning approaches (Mitkov, 1995; Mitkov, 1997), and robust knowledge-poor approaches (Kennedy and Boguarev, 1996; Baldwin, 1997; Mitkov, 1998b; Mitkov, 1999).</S> | Reference Offset: [ '11','90' ] | Reference Text: <S sid="11"> Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="90"> In fact, our evaluation shows that the re sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 48 | Reference Article:  P98-2143.xml | Citing Article:  W04-0707.xml | Citation Marker Offset:  ['222'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['222'] | Citation Text:  <S sid ="222" ssid = "165">G U I TA R (Poesio and AlexandrovKabadjov, 2004) is a general-purpose anaphoric resolver that includes an implementation of the Vieira / Poesio algorithm for definite descriptions and of Mitkovâ€™s algorithm for pronoun resolution (Mitkov, 1998).</S> | Reference Offset: [ '0','69' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="69"> 2.2 Informal description of the algorithm.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 49 | Reference Article:  P98-2143.xml | Citing Article:  W04-0711.xml | Citation Marker Offset:  ['19'] | Citation Marker:  1998 | Citation Offset:  ['19'] | Citation Text:  <S sid ="19" ssid = "19">(PMID:9701290) Table 1: A protein domain-referring phrase example ments and lexical features, in addressing problems in the biomedical domain (cf.</S><S sid ="20" ssid = "20">Mitkov et al.</S><S sid ="21" ssid = "21">(1998)).</S> | Reference Offset: [ '1','74' ] | Reference Text: <S sid="1"> Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="74"> Select from the noun phrases identified only.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 50 | Reference Article:  P98-2143.xml | Citing Article:  W04-0714.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "18">Our method is an inexpensive, fast and reliable procedure for anaphora resolution, which relies on cheaper and more reliable NLP tools such as part- of-speech (POS) tagger and shallow parsers (Baldwin, 1997; FerrÃ¡ndez et al., 1998; Kennedy and Boguraev, 1996; Mitkov, 1998; Yeh and Chen, 2003).</S> | Reference Offset: [ '11','12' ] | Reference Text: <S sid="11"> Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="12"> Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaph ora resolution.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 51 | Reference Article:  P98-2143.xml | Citing Article:  W04-2310.xml | Citation Marker Offset:  ['102'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['102'] | Citation Text:  <S sid ="102" ssid = "7">In most systems ((Mitkov, 1998),(Lappin and Leass, 1994)) the weights that are assigned for different anaphor-antecedent relationships are programmer dependent.</S> | Reference Offset: [ '5','90' ] | Reference Text: <S sid="5"> Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S> <S sid="90"> In fact, our evaluation shows that the re sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 52 | Reference Article:  P98-2143.xml | Citing Article:  W04-2310.xml | Citation Marker Offset:  2186-2198 | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">Often domain-specific heuristics are used for anaphora resolution and fine tuned to perform well on a limited corpus, such as in (Mitkov, 1998).</S> | Reference Offset: [ '0','51' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="51"> Immediate reference In technical manuals the "immediate reference" clue can often be useful in identifying the antecedent.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 53 | Reference Article:  P98-2143.xml | Citing Article:  W06-2302.xml | Citation Marker Offset:  ['48'] | Citation Marker:  1998 | Citation Offset:  ['48'] | Citation Text:  <S sid ="48" ssid = "32">The approach is presented as a knowledge poor anaphora resolution algorithm (Mitkov R. [1995;1998]), which makes use of POS and NP chunking, it tries to individuate pleonastic â€œitâ€ occurrences, and assigns animacy.</S> | Reference Offset: [ '1','106' ] | Reference Text: <S sid="1"> Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="106"> Our robust approach does not use these because it has no information about the syntactic structure of the sentence or about the syn tactic function/semantic role of each individual word.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 54 | Reference Article:  P98-2143.xml | Citing Article:  W09-2411.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Some of the limitations of the traditional rule based approaches (Mitkov, 1998) could be overcome by machine learning techniques, which allow automating the acquisition of knowledge from annotated corpora.</S> | Reference Offset: [ '0','1' ] | Reference Text: <S sid="0"> Robust pronoun resolution with limited knowledge</S> <S sid="1"> Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 55 | Reference Article:  P98-2143.xml | Citing Article:  W99-0104.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid ="59" ssid = "22">Other pronominal resolution approaches promote knowledge-poor methods (Mitkov, 1998), eitper by using an ordered set of general heuristics or by combining scores assigned to candidate antecedents.</S> | Reference Offset: [ '5' ] | Reference Text: <S sid="5"> Candidates are assigned scores by each indicator and the candidate with the highest score is returned as the antecedent.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 56 | Reference Article:  P98-2143.xml | Citing Article:  W99-0104.xml | Citation Marker Offset:  ['60'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['60'] | Citation Text:  <S sid ="60" ssid = "23">The CogNIAC algorithm {Baldwin, 1997) uses six heuristic rules to resalv.e coreference, whereas the algorithm presented in (Mitkov, 1998) is based on a limited set of preferences (e.g. definitiveness, l cal reiteration or immediate reference).</S> | Reference Offset: [ '25','136' ] | Reference Text: <S sid="25"> The antecedent indicators have been identi fied empirically and are related to salience (definiteness, givenness, indicating verbs, lexical reiteration, section heading preference, "non prepositional" noun phrases), to structural matches (collocation, immediate reference), to referential distance or to preference of terms.</S> <S sid="136"> CogNIAC successfully resolved the pronouns in 750f the cases.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 57 | Reference Article:  P98-2143.xml | Citing Article:  W99-0207.xml | Citation Marker Offset:  ['128'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['128'] | Citation Text:  <S sid ="128" ssid = "4">However, the difficulty of our task can be verified according to the baseline experiment results reported in (Mitkov, 1998).</S><S sid ="129" ssid = "5">Resolving pro­ nouns in English technical manuals to the most re­ cent candidate achieved a success rate of 62.5%, whereas in our experiments only 43.90f the most recent candidates are resolved correctly as the an­ tecedent (cf.</S> | Reference Offset: [ '105','107' ] | Reference Text: <S sid="105"> Usually knowledge-based ap proaches have difficulties in such a situation because they use preferences such as "syntactic parallelism" or "semantic parallelism".</S> <S sid="107"> As far as the typical failure cases are concerned, we anticipate the knowledge-poor approach to have difficulties with sentences which have a more com plex syntactic structure.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 58 | Reference Article:  P98-2143.xml | Citing Article:  W99-0207.xml | Citation Marker Offset:  ['131'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['131'] | Citation Text:  <S sid ="131" ssid = "7">Whereas knowledge-based systems like (Carbonell and Brown, 1988) and (Rich and LuperFoy, 1988) combining multiple resolution strategies are expenÂ­ sive in the cost of human effort at development time and limited ability to scale to new domains, more reÂ­ cent knowledge-poor approaches like (Kennedy and Boguraev, 1996) and (Mitkov, 1998) address the problem without sophisticated linguistic knowledge.</S> | Reference Offset: [ '8','11' ] | Reference Text: <S sid="8"> For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11"> Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet: NA | Annotator: System 6 
