 Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['29'] | Citation Text: <S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['8' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 36 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['8'] | Citation Marker: 1998b | Citation Offset: ['8'] | Citation Text: <S sid="8" ssid="8">Our paper discusses a particular configuration of this new evaluation environment incorporating three approaches sharing a common ?knowledge-poor philosophy?: Kennedy and Boguraev?s (1996) parser-free algorithm, Baldwin?s (1997) CogNiac and Mitkov?s (1998b) knowledge-poor approach.</S> | Reference Offset: ['1' , '8' , '10' , '11' , '14' , '115' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se? mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro? cessing of growing language resources.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="115" ssid="40">The evaluation indicated 83.6% success rate.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 37 | Reference Article: P98-2143.xml | Citing Article: P03-1023.xml | Citation Marker Offset: ['13'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['13'] | Citation Text: <S sid="13" ssid="13">Mitkov?s knowledge-poor pronoun resolution method (Mitkov, 1998), for example, uses the scores from a set of antecedent indicators to rank the candidates.</S> | Reference Offset: ['1' , '4' , '8' , '14' , '17' , '16' , '18' , '20' , '22' , '24' , '28' , '37' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="24" ssid="10">Candidates are assigned a score (-1, 0, 1 or 2) for each indicator; the candidate with the highest aggregate score is proposed as the ante? cedent.</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 38 | Reference Article: P98-2143.xml | Citing Article: P04-1017.xml | Citation Marker Offset: ['191'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['191'] | Citation Text: <S sid="191" ssid="5">The coreferential chain length of a candidate, or its variants such as occurrence frequency and TFIDF, has been used as a salience factor in some learning-based reference resolution systems (Iida et al., 2003; Mitkov, 1998; Paul et al., 1999; Strube and Muller, 2003).</S> | Reference Offset: ['1' , '8' , '11' , '20' , '37' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 39 | Reference Article: P98-2143.xml | Citing Article: P04-1018.xml | Citation Marker Offset: ['8'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['8'] | Citation Text: <S sid="8" ssid="8">For example, in the following sentence, mentions are underlined: ?The American Medical Association voted yesterday to install the heir apparent as its president-elect, rejecting a strong, upstart challenge by a District doctor who argued that the nation?s largest physicians? group needs stronger ethics and new leadership.? ?American Medical Association?, ?its? and ?group? belong to the same entity as they refer to the same object.Early work of anaphora resolution focuses on find ing antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998), while recent advances (Soon et al., 2001; Yang et al., 2003; Ng and Cardie, 2002; Ittycheriah et al., 2003) employ statistical machine learning methods and try to resolve reference among all kinds of noun phrases (NP), be it a name, nominal, or pronominal phrase ? which is the scope of this paper as well.</S> | Reference Offset: ['34' ] | Reference Text: <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 4 | Reference Article: P98-2143.xml | Citing Article: C02-1027.xml | Citation Marker Offset: ['73'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['73'] | Citation Text: <S sid="73" ssid="11">3 For a detailed procedure how candidates are handled in the event of a tie, see (Mitkov, 1998).</S> | Reference Offset: ['1' , '8' , '9' , '10' , '11' , '20' , '30' , '28' , '34' , '37' , '1' , '8' , '9' , '10' , '11' , '17' , '20' , '34' , '37' , '1' , '8' , '9' , '10' , '11' , '20' , '34' , '37' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se? mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro? cessing of growing language resources.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se? mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro? cessing of growing language resources.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se? mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro? cessing of growing language resources.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 40 | Reference Article: P98-2143.xml | Citing Article: P05-1021.xml | Citation Marker Offset: ['17'] | Citation Marker: 1998 | Citation Offset: ['17'] | Citation Text: <S sid="17" ssid="17">Indeed, existing learning-based approaches to anaphor resolution have performed reasonably well using limited and shallow knowledge (e.g., Mitkov (1998), Soon et al.</S> | Reference Offset: ['1' , '8' , '9' , '17' , '28' , '73' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 41 | Reference Article: P98-2143.xml | Citing Article: P05-1021.xml | Citation Marker Offset: ['97'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['97'] | Citation Text: <S sid="97" ssid="23">ParalStuctmarks whether a candidate and an anaphor have sim StatSemN (C, ana) = c max StatSem(ci , ana) (ana) ilar surrounding words, which is also a salience factor for the candidate evaluation (Mitkov, 1998).</S> | Reference Offset: ['8' , '11' , '17' , '20' , '28' , '37' , '73' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 42 | Reference Article: P98-2143.xml | Citing Article: P06-1006.xml | Citation Marker Offset: ['12'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['12'] | Citation Text: <S sid="12" ssid="12">These features are calculated by mining the parse trees, and then could be used for resolution by using manually designed rules (Lappin and Leass, 1994; Kennedy and Boguraev, 1996; Mitkov, 1998), or using machine-learning methods (Aone and Bennett, 1995; Yang et al., 2004; Luo and Zitouni, 2005).</S> | Reference Offset: ['1' , '8' , '11' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 43 | Reference Article: P98-2143.xml | Citing Article: P07-1068.xml | Citation Marker Offset: ['5'] | Citation Marker: 1998 | Citation Offset: ['5'] | Citation Text: <S sid="5" ssid="5">In knowledge-lean approaches, coreference resolvers employ only morpho-syntactic cues as knowledge sources in the resolution process (e.g., Mitkov (1998), Tetreault (2001)).</S> | Reference Offset: ['1' , '9' , '111' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="111" ssid="36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User's Guide (Stylewriter 1994).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 44 | Reference Article: P98-2143.xml | Citing Article: P10-2049.xml | Citation Marker Offset: ['78'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['78'] | Citation Text: <S sid="78" ssid="4">The algorithm with the next-to-highest results in (Char- niak and Elsner, 2009) is MARS (Mitkov, 1998) from the GuiTAR (Poesio and Kabadjov, 2004) toolkit.</S> | Reference Offset: ['8' , '119' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="119" ssid="44">This measure (Mitkov 1998b) applies only to anaphors "ambiguous" from the point of view of number and gender (i.e. to those "tough" anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 45 | Reference Article: P98-2143.xml | Citing Article: P13-3012.xml | Citation Marker Offset: ['15'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['15'] | Citation Text: <S sid="15" ssid="2">While not developed within a graph-based framework, factor-based approaches for pronoun resolution (Mitkov, 1998) can be regarded as greedy clustering in a multigraph, where edges representing factors for pronoun resolution have negative or positive weight.</S> | Reference Offset: ['1' , '8' , '11' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 46 | Reference Article: P98-2143.xml | Citing Article: S10-1019.xml | Citation Marker Offset: ['7'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['7'] | Citation Text: <S sid="7" ssid="7">(Mitkov, 1998; Poesio et al., 2002; Markert and Nissim, 2005)), machine learning methods were embraced (cf.</S> | Reference Offset: ['8' , '8' , '143' , '8' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 47 | Reference Article: P98-2143.xml | Citing Article: W01-0704.xml | Citation Marker Offset: ['83'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['83'] | Citation Text: <S sid="83" ssid="7">These proposals have report high success rates for English (89.7%) (Mitkov, 1998) and for Spanish (83%) (Ferr?andez et al., 1999).Taking this basis, it is possible to improve the re sults of a resolution method adding other sources such us semantic, pragmatic, world-knowledge or indeed statistical information.We have explored the use of semantic information extracted from an ontology and its application to the anaphora resolution proccess.</S> | Reference Offset: ['1' , '4' , '8' , '9' , '14' , '17' , '16' , '18' , '22' , '30' , '31' , '28' , '37' , '1' , '4' , '8' , '9' , '14' , '17' , '16' , '18' , '22' , '28' , '37' , '143' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 48 | Reference Article: P98-2143.xml | Citing Article: W01-0717.xml | Citation Marker Offset: ['145'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['145'] | Citation Text: <S sid="145" ssid="1">There are many recent approaches to this prob lem, e. g. syntax-based approaches (Lappin and Leass, 1994), cooccurrence-based approaches(Dagan and Itai, 1990), machine-learning approaches (Connolly et al., 1994; Aone and Ben nett, 1996; Soon et al., 1999), uncertainty reasoning approaches (Mitkov, 1995; Mitkov, 1997), and robust knowledge-poor approaches (Kennedy and Boguarev, 1996; Baldwin, 1997; 5The number of markables that are coreferential with some other markable ranges from 28 to 63 for the foldsbecause the texts in the evaluation corpus were not bro ken up for cross-validation in order to yield statistical data about whole texts.</S> | Reference Offset: ['1' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
