Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['28','29'] | Citation Text: <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 
Citance Number: 48 | Reference Article: P98-2143.xml | Citing Article: W01-0717.xml | Citation Marker Offset: ['145'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['145'] | Citation Text: <S sid ="145" ssid = "1">There are many recent approaches to this prob lem, e. g. syntax-based approaches (Lappin and Leass, 1994), cooccurrence-based approaches(Dagan and Itai, 1990), machine-learning approaches (Connolly et al., 1994; Aone and Ben nett, 1996; Soon et al., 1999), uncertainty reasoning approaches (Mitkov, 1995; Mitkov, 1997), and robust knowledge-poor approaches (Kennedy and Boguarev, 1996; Baldwin, 1997; Mitkov, 1998b; Mitkov, 1999).</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 49 | Reference Article: P98-2143.xml | Citing Article: W04-0707.xml | Citation Marker Offset: ['222'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['222'] | Citation Text: <S sid ="222" ssid = "165">G U I TA R (Poesio and AlexandrovKabadjov, 2004) is a general-purpose anaphoric resolver that includes an implementation of the Vieira / Poesio algorithm for definite descriptions and of Mitkovâ€™s algorithm for pronoun resolution (Mitkov, 1998).</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 50 | Reference Article: P98-2143.xml | Citing Article: W04-0711.xml | Citation Marker Offset: ['19'] | Citation Marker: 1998 | Citation Offset: ['19'] | Citation Text: <S sid ="19" ssid = "19">(PMID:9701290) Table 1: A protein domain-referring phrase example ments and lexical features, in addressing problems in the biomedical domain (cf.</S><S sid ="20" ssid = "20">Mitkov et al.</S><S sid ="21" ssid = "21">(1998)).</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 51 | Reference Article: P98-2143.xml | Citing Article: W04-0714.xml | Citation Marker Offset: ['18'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['18'] | Citation Text: <S sid ="18" ssid = "18">Our method is an inexpensive, fast and reliable procedure for anaphora resolution, which relies on cheaper and more reliable NLP tools such as part- of-speech (POS) tagger and shallow parsers (Baldwin, 1997; FerrÃ¡ndez et al., 1998; Kennedy and Boguraev, 1996; Mitkov, 1998; Yeh and Chen, 2003).</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 52 | Reference Article: P98-2143.xml | Citing Article: W04-2310.xml | Citation Marker Offset: ['102'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['102'] | Citation Text: <S sid ="102" ssid = "7">In most systems ((Mitkov, 1998),(Lappin and Leass, 1994)) the weights that are assigned for different anaphor-antecedent relationships are programmer dependent.</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 54 | Reference Article: P98-2143.xml | Citing Article: W06-2302.xml | Citation Marker Offset: ['48'] | Citation Marker: 1998 | Citation Offset: ['48'] | Citation Text: <S sid ="48" ssid = "32">The approach is presented as a knowledge poor anaphora resolution algorithm (Mitkov R. [1995;1998]), which makes use of POS and NP chunking, it tries to individuate pleonastic â€œitâ€ occurrences, and assigns animacy.</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 55 | Reference Article: P98-2143.xml | Citing Article: W09-2411.xml | Citation Marker Offset: ['6'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Some of the limitations of the traditional rule based approaches (Mitkov, 1998) could be overcome by machine learning techniques, which allow automating the acquisition of knowledge from annotated corpora.</S> | Reference Offset: ['3'] | Reference Text: <S sid="3" ssid="3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 56 | Reference Article: P98-2143.xml | Citing Article: W99-0104.xml | Citation Marker Offset: ['59'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['59'] | Citation Text: <S sid ="59" ssid = "22">Other pronominal resolution approaches promote knowledge-poor methods (Mitkov, 1998), eitper by using an ordered set of general heuristics or by combining scores assigned to candidate antecedents.</S> | Reference Offset: ['3'] | Reference Text: <S sid="3" ssid="3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 58 | Reference Article: P98-2143.xml | Citing Article: W99-0207.xml | Citation Marker Offset: ['128'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['128'] | Citation Text: <S sid ="128" ssid = "4">However, the difficulty of our task can be verified according to the baseline experiment results reported in (Mitkov, 1998).</S><S sid ="129" ssid = "5">Resolving pro­ nouns in English technical manuals to the most re­ cent candidate achieved a success rate of 62.5%, whereas in our experiments only 43.9% of the most recent candidates are resolved correctly as the an­ tecedent (cf.</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

